method,T-little,T-big
ILP-SM-I,51.416666666666664,51.46666666666667
ILP-SM-II,51.18333333333333,51.116666666666674
HEUR,52.73333333333333,52.849999999999994
ILP-IDLE-MIN,52.78333333333333,52.80000000000001
QP-LR-UB,53.18333333333334,53.583333333333336
ILP-IDLE-MAX,55.833333333333336,57.150000000000006
