method,T-little,T-big
ILP-SM-I,31.71666666666667,33.18333333333333
BB-SM,32.74999999999999,34.41666666666667
HEUR,33.449999999999996,34.78333333333334
BB-LR,33.68333333333333,35.26666666666667
ILP-IDLE-MIN,34.25000000000001,35.650000000000006
QP-LR-UB,34.46666666666667,36.3
ILP-IDLE-MAX,36.06666666666667,38.63333333333333
