method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,6.1,6.48,6.07,6.53,6.15,6.85
ILP-SM-II,6.1,6.48,6.05,6.55,6.16,6.77
HEUR,6.32,6.47,6.12,6.76,6.31,6.8
ILP-IDLE-MIN,6.35,6.62,6.94,6.91,6.54,7.16
QP-LR-UB,7.31,7.65,7.3,7.85,7.44,7.97
ILP-IDLE-MAX,7.37,7.37,7.31,7.73,7.6,7.9
