method,T-little,T-big
ILP-SM-I,33.050000000000004,34.49999999999999
BB-SM,34.199999999999996,35.93333333333333
HEUR,34.7,36.199999999999996
BB-LR,34.333333333333336,35.93333333333334
ILP-IDLE-MIN,34.9,36.36666666666667
QP-LR-UB,35.43333333333333,37.2
ILP-IDLE-MAX,37.71666666666667,40.46666666666667
