method,T-little,T-big
ILP-SM,50.26666666666667,50.25
BB-SM,50.20000000000001,50.349999999999994
HEUR,51.6,51.46666666666667
BB-LR,50.650000000000006,50.68333333333334
ILP-IDLE-MIN,51.76666666666667,51.69999999999999
QP-LR-UB,51.666666666666664,51.76666666666667
ILP-IDLE-MAX,54.06666666666667,55.21666666666666
