method,inst0-all,inst1-all,inst2-all,inst3-all,inst4-all,inst5-all,inst0-cpu,inst1-cpu,inst2-cpu,inst3-cpu,inst4-cpu,inst5-cpu
ILP-SM-I,3.3,2.97,3.01,3.59,3.19,2.82,3.29,3.67,3.26,3.73,3.35,4.05
ILP-SM-II,3.29,2.98,3.03,3.6,3.21,2.89,3.3,3.68,3.25,3.74,3.36,3.97
HEUR,3.23,2.98,3.02,3.78,3.45,2.89,3.52,3.66,3.32,3.95,3.5,4.0
ILP-IDLE-MIN,4.09,3.26,3.91,4.04,3.69,3.59,3.55,3.82,4.14,4.1,3.73,4.35
QP-LR-UB,4.29,4.18,4.41,4.49,4.18,3.9,4.51,4.85,4.49,5.05,4.64,5.17
ILP-IDLE-MAX,4.33,3.74,4.08,4.56,4.16,3.68,4.57,4.57,4.51,4.93,4.79,5.09
