method,T-little,T-big
ILP-SM,32.03333333333333,32.03333333333333
BB-SM,32.5,32.5
HEUR,32.300000000000004,32.300000000000004
BB-LR,32.4,32.4
ILP-IDLE-MIN,33.56666666666666,33.56666666666666
QP-LR-UB,32.15,32.15
ILP-IDLE-MAX,35.833333333333336,35.833333333333336
