method,inst0-all,inst1-all,inst2-all,inst3-all,inst4-all,inst5-all,inst0-cpu,inst1-cpu,inst2-cpu,inst3-cpu,inst4-cpu,inst5-cpu
ILP-SM,6.1,5.77,5.81,6.39,5.99,5.63,6.1,6.48,6.07,6.53,6.15,6.85
BB-SM,6.26,5.77,5.96,6.46,6.23,5.84,6.41,6.63,6.27,6.66,6.38,7.04
HEUR,6.04,5.78,5.82,6.58,6.26,5.69,6.32,6.47,6.12,6.76,6.31,6.8
BB-LR,6.81,6.79,6.82,7.18,6.74,6.68,7.29,7.54,7.17,7.7,7.53,7.55
ILP-IDLE-MIN,6.9,6.07,6.71,6.85,6.5,6.4,6.35,6.62,6.94,6.91,6.54,7.16
QP-LR-UB,7.1,6.98,7.21,7.29,6.98,6.71,7.31,7.65,7.3,7.85,7.44,7.97
ILP-IDLE-MAX,7.14,6.55,6.89,7.36,6.97,6.49,7.37,7.37,7.31,7.73,7.6,7.9
