method,inst0-all,inst1-all,inst2-all,inst3-all,inst4-all,inst5-all,inst0-cpu,inst1-cpu,inst2-cpu,inst3-cpu,inst4-cpu,inst5-cpu
ILP-SM-I,8.26,7.75,8.48,8.28,7.87,7.66,7.96,8.18,8.21,8.29,8.39,8.27
ILP-SM-II,8.24,7.76,8.45,8.25,7.87,7.64,7.97,8.17,8.18,8.28,8.3,8.21
HEUR,8.65,8.2,8.66,8.69,8.61,7.93,8.39,8.5,8.49,8.75,8.65,8.85
ILP-IDLE-MIN,8.93,8.19,8.85,8.73,8.68,8.16,8.47,8.58,8.44,8.86,8.7,8.72
QP-LR-UB,9.1,8.33,8.99,8.97,8.73,7.93,8.61,9.0,8.6,8.84,8.79,8.7
ILP-IDLE-MAX,9.23,8.74,9.38,9.55,8.9,8.54,8.96,9.37,9.18,9.45,9.41,9.61
