method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
HEUR,-5.45,2.41,2.42,2.59,2.56,2.77
ILP-IDLE-MAX,-5.45,3.33,3.18,3.45,3.22,3.44
ILP-IDLE-MIN,-5.45,2.51,2.42,2.71,2.56,2.61
ILP-SM-I,2.15,2.25,2.28,2.31,2.38,2.35
ILP-SM-II,2.14,2.25,2.28,2.31,2.34,2.38
QP-LR-UB,2.51,2.9,2.69,2.69,2.71,2.94
