method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,7.6,7.7,7.73,7.76,7.83,7.8
ILP-SM-II,7.59,7.7,7.73,7.76,7.79,7.83
HEUR,0.0,7.86,7.87,8.04,8.01,8.22
ILP-IDLE-MIN,0.0,7.96,7.87,8.16,8.01,8.06
QP-LR-UB,7.96,8.35,8.14,8.14,8.16,8.39
ILP-IDLE-MAX,0.0,8.78,8.63,8.9,8.67,8.89
