method,T-little,T-big
ILP-SM-I,57.03333333333333,57.03333333333333
BB-SM,59.11666666666665,59.11666666666665
HEUR,57.56666666666666,57.56666666666666
BB-LR,62.06666666666666,62.06666666666666
ILP-IDLE-MIN,58.73333333333334,58.73333333333334
QP-LR-UB,61.1,61.1
ILP-IDLE-MAX,61.15,61.15
