method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
HEUR,3.16,2.71,3.17,3.2,3.12,2.44
ILP-IDLE-MAX,3.74,3.25,3.89,4.06,3.41,3.05
ILP-IDLE-MIN,3.44,2.7,3.36,3.24,3.19,2.67
ILP-SM-I,2.77,2.26,2.99,2.79,2.38,2.17
ILP-SM-II,2.75,2.27,2.96,2.76,2.38,2.15
QP-LR-UB,3.61,2.84,3.5,3.48,3.24,2.44
