method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
HEUR,3.23,2.98,3.02,3.78,3.45,2.89
ILP-IDLE-MAX,4.33,3.74,4.08,4.56,4.16,3.68
ILP-IDLE-MIN,4.09,3.26,3.91,4.04,3.69,3.59
ILP-SM-I,3.3,2.97,3.01,3.59,3.19,2.82
ILP-SM-II,3.29,2.98,3.03,3.6,3.21,2.89
QP-LR-UB,4.29,4.18,4.41,4.49,4.18,3.9
