method,inst0-all,inst1-all,inst2-all,inst3-all,inst4-all,inst5-all,inst0-cpu,inst1-cpu,inst2-cpu,inst3-cpu,inst4-cpu,inst5-cpu
ILP-SM,7.64,7.42,7.97,7.81,7.45,7.39,7.6,7.7,7.73,7.76,7.83,7.8
BB-SM,7.78,7.63,8.11,7.99,7.54,7.58,7.78,7.86,7.86,7.89,7.98,8.08
HEUR,7.99,7.66,8.03,7.98,7.91,7.67,7.9,7.86,7.87,8.04,8.01,8.22
BB-LR,7.99,7.73,8.1,8.08,7.89,7.57,7.85,7.93,7.86,7.96,7.96,8.2
ILP-IDLE-MIN,8.26,7.49,8.11,8.12,8.04,7.68,7.83,7.96,7.87,8.16,8.01,8.06
QP-LR-UB,8.14,7.69,8.32,8.31,7.82,7.5,7.96,8.35,8.14,8.14,8.16,8.39
ILP-IDLE-MAX,8.75,8.27,8.73,8.81,8.47,8.36,8.49,8.78,8.63,8.9,8.67,8.89
