method,T-little,T-big
ILP-SM-I,55.56666666666666,55.583333333333336
BB-SM,56.43333333333333,56.43333333333333
HEUR,55.949999999999996,55.949999999999996
BB-LR,58.71666666666667,58.71666666666667
ILP-IDLE-MIN,58.050000000000004,58.050000000000004
QP-LR-UB,59.199999999999996,59.199999999999996
ILP-IDLE-MAX,58.74999999999999,58.74999999999999
