method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
HEUR,2.9,3.01,3.0,3.26,3.16,3.36
ILP-IDLE-MAX,3.47,3.88,3.69,3.96,3.92,4.12
ILP-IDLE-MIN,2.98,3.09,2.95,3.37,3.21,3.23
ILP-SM-I,2.47,2.69,2.72,2.8,2.9,2.78
ILP-SM-II,2.48,2.68,2.69,2.79,2.81,2.72
QP-LR-UB,3.12,3.51,3.11,3.35,3.3,3.21
