method,T-little,T-big
ILP-SM-I,10.266666666666667,10.25
ILP-SM-II,10.333333333333334,10.35
HEUR,11.6,11.466666666666669
ILP-IDLE-MIN,11.766666666666666,11.700000000000003
QP-LR-UB,11.666666666666666,11.766666666666666
ILP-IDLE-MAX,14.066666666666665,15.216666666666669
