method,T-little,T-big
ILP-SM,31.616666666666664,31.616666666666664
BB-SM,32.56666666666666,32.56666666666666
HEUR,32.21666666666666,32.2
BB-LR,32.53333333333334,32.53333333333334
ILP-IDLE-MIN,34.4,34.4
QP-LR-UB,31.950000000000003,31.950000000000003
ILP-IDLE-MAX,35.21666666666666,35.21666666666666
