method,T-little,T-big
ILP-SM-I,55.9,57.35
ILP-SM-II,55.85,57.28333333333334
HEUR,57.53333333333333,58.916666666666664
ILP-IDLE-MIN,58.31666666666667,59.73333333333333
QP-LR-UB,58.38333333333333,60.199999999999996
ILP-IDLE-MAX,60.13333333333333,62.73333333333333
