method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,6.1,5.77,5.81,6.39,5.99,5.63
ILP-SM-II,6.1,5.79,5.84,6.41,6.01,5.69
HEUR,6.04,5.78,5.82,6.58,6.26,5.69
ILP-IDLE-MIN,6.9,6.07,6.71,6.85,6.5,6.4
QP-LR-UB,7.1,6.98,7.21,7.29,6.98,6.71
ILP-IDLE-MAX,7.14,6.55,6.89,7.36,6.97,6.49
