method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,7.64,7.42,7.97,7.81,7.45,7.39
ILP-SM-II,7.7,7.41,7.94,7.81,7.44,7.39
HEUR,7.99,7.66,8.03,7.98,7.91,7.67
ILP-IDLE-MIN,8.26,7.49,8.11,8.12,8.04,7.68
QP-LR-UB,8.14,7.69,8.32,8.31,7.82,7.5
ILP-IDLE-MAX,8.75,8.27,8.73,8.81,8.47,8.36
