method,T-little,T-big
ILP-SM,25.833333333333332,25.883333333333336
BB-SM,26.766666666666666,26.849999999999998
HEUR,26.833333333333332,26.916666666666668
BB-LR,26.950000000000003,26.866666666666664
ILP-IDLE-MIN,26.700000000000003,26.700000000000003
QP-LR-UB,27.650000000000002,28.11666666666667
ILP-IDLE-MAX,29.83333333333333,31.166666666666668
