method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
HEUR,3.52,3.66,3.32,3.95,3.5,4.0
ILP-IDLE-MAX,4.57,4.57,4.51,4.93,4.79,5.09
ILP-IDLE-MIN,3.55,3.82,4.14,4.1,3.73,4.35
ILP-SM-I,3.29,3.67,3.26,3.73,3.35,4.05
ILP-SM-II,3.3,3.68,3.25,3.74,3.36,3.97
QP-LR-UB,4.51,4.85,4.49,5.05,4.64,5.17
