method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,8.26,7.75,8.48,8.28,7.87,7.66
ILP-SM-II,8.24,7.76,8.45,8.25,7.87,7.64
HEUR,8.65,8.2,8.66,8.69,8.61,7.93
ILP-IDLE-MIN,8.93,8.19,8.85,8.73,8.68,8.16
QP-LR-UB,9.1,8.33,8.99,8.97,8.73,7.93
ILP-IDLE-MAX,9.23,8.74,9.38,9.55,8.9,8.54
