method,inst0-all,inst1-all,inst2-all,inst3-all,inst4-all,inst5-all,inst0-cpu,inst1-cpu,inst2-cpu,inst3-cpu,inst4-cpu,inst5-cpu
ILP-SM,2.19,1.97,2.52,2.36,2.0,1.94,2.15,2.25,2.28,2.31,2.38,2.35
BB-SM,2.33,2.18,2.66,2.54,2.09,2.13,2.33,2.41,2.41,2.44,2.53,2.63
HEUR,2.54,2.21,2.58,2.53,2.46,2.22,2.45,2.41,2.42,2.59,2.56,2.77
BB-LR,2.54,2.28,2.65,2.63,2.44,2.12,2.4,2.48,2.41,2.51,2.51,2.75
ILP-IDLE-MIN,2.81,2.04,2.66,2.67,2.59,2.23,2.38,2.51,2.42,2.71,2.56,2.61
QP-LR-UB,2.69,2.24,2.87,2.86,2.37,2.05,2.51,2.9,2.69,2.69,2.71,2.94
ILP-IDLE-MAX,3.3,2.82,3.28,3.36,3.02,2.91,3.04,3.33,3.18,3.45,3.22,3.44
