method,inst-0,inst-1,inst-2,inst-3,inst-4,inst-5
ILP-SM-I,7.96,8.18,8.21,8.29,8.39,8.27
ILP-SM-II,7.97,8.17,8.18,8.28,8.3,8.21
HEUR,8.39,8.5,8.49,8.75,8.65,8.85
ILP-IDLE-MIN,8.47,8.58,8.44,8.86,8.7,8.72
QP-LR-UB,8.61,9.0,8.6,8.84,8.79,8.7
ILP-IDLE-MAX,8.96,9.37,9.18,9.45,9.41,9.61
