instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_20_6,ILP-SM-I,3366,20,827,3.5550531822157665,5.121211388263519,3.3228528261300423
IN_22_2,ILP-SM-II,6549,22,971,3.1122800057530404,3.765172709508241,3.0060258224033563
IN_24_9,ILP-SM-II,50151,24,1145,2.9035739313130793,4.127999320840926,2.849272261058624
IN_24_5,ILP-SM-II,13352,24,1005,3.1919108971510783,4.4331435957953484,3.263029956807536
IN_30_6,ILP-SM-I,1200023,30,1191,2.846262307513933,3.3031679851727165,2.851870442124737
IN_22_1,ILP-SM-I,31400,22,1014,3.4207499989204937,4.241802513982963,3.2720845691917395
IN_26_8,ILP-SM-I,201479,26,1220,3.0442377085324193,4.52938276283162,3.0508232459086746
IN_32_1,ILP-SM-I,1200020,32,1251,3.2329603214940383,4.578929038090554,3.256473630278261
IN_34_1,ILP-SM-II,1200003,34,1537,2.9619166684838443,3.728116521643332,2.96934237830486
IN_36_7,ILP-SM-II,1200003,36,1688,2.968403513773143,3.719647375281722,3.0889895822033724
IN_36_6,ILP-SM-I,1200028,36,1569,2.6452345632752516,3.4598025978771068,2.801264399297646
IN_32_9,ILP-SM-II,1200003,32,1397,2.823907143878085,3.294828299368109,2.889920997804137
IN_20_2,ILP-SM-I,1241,20,801,2.96938268477902,4.313572644259312,3.086669998401809
IN_22_9,ILP-SM-II,13080,22,869,3.1906739081863478,3.460219366377641,3.0937809205244418
IN_26_9,ILP-SM-II,70913,26,1200,2.9414166918521127,3.743246007071783,2.858730440552533
IN_28_8,ILP-SM-II,790768,28,1212,2.9713688645572938,4.058994944328461,2.982739525239609
IN_30_1,ILP-SM-I,1200040,30,1241,2.910791983246803,3.940647899030387,3.011723418750954
IN_22_3,ILP-SM-II,49103,22,1001,2.9098666731232687,4.213315676442215,2.8242694737539695
IN_24_2,ILP-SM-II,24878,24,1007,2.497752474735279,3.0550922214247214,2.4734910804683476
IN_30_10,ILP-SM-II,207143,30,1332,2.6947826022363226,3.3393460055274593,2.708613318303433
IN_28_8,ILP-SM-I,1200054,28,1218,2.975647546863947,3.745163899499471,2.9809156736439126
IN_26_2,ILP-SM-II,31326,26,990,3.2853980638303804,4.524898032044063,3.389353100005993
IN_20_3,ILP-SM-II,9729,20,790,2.819300017878413,3.4265083881154657,2.8740962592682795
IN_32_5,ILP-SM-I,737299,32,1328,2.424977447014106,3.325704739718408,2.5648362679481616
IN_32_2,ILP-SM-I,1200020,32,1458,3.217115644218565,4.382271404941015,3.3697750609014414
IN_20_9,ILP-SM-II,7589,20,747,2.8100933325886728,3.543130028016806,2.6830955694141587
IN_26_6,ILP-SM-II,282725,26,1043,3.4121509834561707,4.557786624105161,3.3854438236943403
IN_32_10,ILP-SM-II,781707,32,1458,2.9243356113462418,3.66062885317536,3.0062483272276204
IN_28_1,ILP-SM-II,48055,28,1163,2.7479576197216065,3.4559100665927187,2.796264531123676
IN_34_8,ILP-SM-I,1200029,34,1309,2.904060607335784,3.7402051579814297,3.026983459589969
IN_22_4,ILP-SM-II,14505,22,882,3.353177761716975,4.794086023694674,3.381665315886273
IN_32_5,ILP-SM-II,91009,32,1328,2.424977447014106,3.325704739718408,2.564836267948162
IN_22_4,ILP-SM-I,13585,22,882,3.353177761716975,4.872506017257373,3.3816653158862726
IN_28_4,ILP-SM-II,36407,28,1339,2.7818283677990756,4.273755026516608,2.980274359529699
IN_34_7,ILP-SM-II,1200003,34,1614,2.8622777948960847,3.3398488939079143,2.9012464619395812
