# Started at: 2021-04-24 02:57:52 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance1/2/refLTF.json.yaml.csv -- demos-sched -c /root/experiment8/Instance1/refLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
22992.8,36600,37000,36800,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8564485.521463638,,,,,,,,100,87,85,78,31.6832,24
23993,36200,37400,36800,35600,35800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8490717.808015388,,,,,,,,94,81.1881,78,73.2673,42.4242,31
24992.6,36600,37400,36800,36000,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8241082.622142053,,,,,,,,94,81.8182,79.2079,72.7273,39,28.2828
25992.8,36800,38100,37200,35800,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7844350.0876030605,,,,,,,,94.898,80,76,69,37.7551,31.3131
26992.4,37200,37500,37400,36200,36600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8321500.676379609,,,,,,,,94.0594,93,89.1089,82.8283,43.5644,31
27992.4,37200,38100,37400,36200,36600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8213568.508603271,,,,,,,,94.0594,81,76.7677,68.6275,38,28
28992.3,37500,38700,37700,36600,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8376768.707394679,,,,,,,,100,87.1287,84.8485,80.8081,37,29
29992.2,37900,38500,37900,36600,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8226443.961206676,,,,,,,,94.0594,81.1881,77.2277,70.297,42.4242,31.6832
30531.6,,,,,,,,,,,,,,66.28,62.36,,,,,,,,,,,,,,
30992.1,37700,38300,37700,36800,37400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8290056.425084919,,,,,,,,94,81.8182,79,73.7374,39.3939,28.2828
31269.9,,,,,,,,,,,,,25.254,,,,,,,,,,,,,,,,
31993.1,37900,38500,38100,37000,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7992378.624556397,,,,,,,,94.0594,80.3922,77,69.6078,34.6535,27.7228
32992.6,38100,38500,38300,37400,37700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8375969.754325762,,,,,,,,94,92.7835,88.8889,81.6327,46.4646,35.7143
33992.2,37700,38900,38500,37400,37400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8274754.931013761,,,,,,,,94,81,76.7677,69,34,22.2222
34992.2,38300,38900,38700,37400,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8470321.26828239,,,,,,,,100,87,84.1584,80.198,41,34
35992.7,38700,39300,38700,37700,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8080860.602719254,,,,,,,,94,81.1881,78,70.7071,42,31
36992.8,38900,39900,39100,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8142454.200152451,,,,,,,,94.9495,81.8182,78.7879,73.2673,40,29
37992.3,38700,39300,39300,38100,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8213241.78571583,,,,,,,,94.0594,86,82,73.7374,34,27
38992.5,38700,40500,39500,38100,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8283371.615576983,,,,,,,,93.9394,87.1287,83.1683,77.2277,48,36.6337
39992.3,38700,40100,39500,38300,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8459067.518879335,,,,,,,,97.0297,84,79.798,72,29.2929,21
40653,,,,,,,,,,,,,,66.32,62.15,,,,,,,,,,,,,,
40992.5,39300,39900,39500,38300,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8477586.772611588,,,,,,,,97,84,81.8182,77.7778,40,35
41332,,,,,,,,,,,,,25.254,,,,,,,,,,,,,,,,
41992.7,39300,39900,39900,38900,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8226903.951632958,,,,,,,,94,81,78,70,41.4141,30.303
42992.9,39700,40900,39900,38700,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7868106.453419224,,,,,,,,94,82,79.2079,73.2673,42.5743,33
43992.2,39700,40300,40300,38900,38900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8307727.413241971,,,,,,,,94.0594,90.9091,86,79,37,27.2727
44992.2,39900,41300,40300,39100,39300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8207967.691996139,,,,,,,,94,82,79,72,44.4444,34
45992.2,40100,40700,40700,39300,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8541961.518769119,,,,,,,,100,87.1287,85,77,30,23.7624
46992.4,40100,40900,40700,39100,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8527604.481855107,,,,,,,,95.0495,81.8182,78,74.2574,42.4242,31
47993.1,40300,41100,41100,39500,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8315597.338724179,,,,,,,,93.9394,81,78.7879,71.7172,39,28.2828
48992.3,40100,41300,40700,39300,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,7862428.594344421,,,,,,,,94,81.1881,76.2376,71,40,33
49993,40700,41300,41100,39700,39700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8443957.40142363,,,,,,,,94,92,89,81.8182,41.4141,29.703
50771.7,,,,,,,,,,,,,,66.28,62.27,,,,,,,,,,,,,,
50992.5,40900,42100,41100,39700,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8306882.572142778,,,,,,,,94.0594,81,77,69.3069,40.5941,31.3131
51392,,,,,,,,,,,,,25.308,,,,,,,,,,,,,,,,
51992.9,40900,41700,41300,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8444806.512396172,,,,,,,,100,87,84,80.8081,35,28
52993,41300,42800,41500,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8377924.975365718,,,,,,,,94,82,77.7778,70,42.4242,31.3131
53993,41100,41700,41500,40300,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8384964.105062483,,,,,,,,94,81,79.2079,73,39.604,28.7129
54992.8,40900,41500,41500,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8029832.060203506,,,,,,,,94,80.8081,76.7677,69,34.3434,28
55992.2,41100,42100,41700,40300,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8523788.620274633,,,,,,,,94,92.0792,89,82,47,35
