benchmark,A53_600MHz,A53_900MHz,A53_1104MHz,A53_1200MHz,A72_600MHz,A72_1056MHz,A72_1296MHz,A72_1596MHz
adpcm_dec,0.010277501799999996,0.008723878800000001,0.0081190714,0.0082289551,0.0087947431,0.007366323000000001,0.007008965000000001,0.006748465349999999
audiobeam,0.010690838499999999,0.0090978022,0.00857178385,0.008739612599999998,0.0091661599,0.007911412349999999,0.007275872849999999,0.0069922226
bitonic,0.01066148455,0.00902521635,0.00840995865,0.009171282149999998,0.00952207135,0.00748015025,0.0071665368,0.00683526695
sha,0.06890917290000001,0.04781171385,0.0400677699,0.037572575899999995,0.07701355020000002,0.04623496580000001,0.03870651395,0.03257422510000001
susan,4.088333900249999,2.72180702685,2.2183982019,2.0411913243499997,1.5092472011,0.85686674925,0.6986789062500001,0.5678986300500001
isqrt,0.06948775365,0.04827348595,0.04034034395,0.037701246849999995,0.0641276385,0.03893369975000001,0.03292186979999999,0.0277621781
fmref,0.05168417020000001,0.0363913472,0.030713211700000003,0.029217977650000004,0.028490148500000007,0.018604367049999994,0.016259319949999997,0.014185016550000002
binarysearch,0.00972241335,0.00853493655,0.007915116299999997,0.007882834250000002,0.009049441899999998,0.007298439800000001,0.007045452899999999,0.0068386729
gsm_dec,0.16007647950000004,0.10816834844999998,0.08926696845000001,0.08281691560000001,0.088889297,0.052919253900000005,0.04446957435,0.0369227525
rad2deg,0.011027068350000002,0.0091908891,0.008676809000000002,0.008630626499999999,0.00894597125,0.0074043677,0.007141305550000002,0.0068034728
anagram,0.013006514100000005,0.01060466525,0.0096406247,0.009886905149999998,0.0109225251,0.00860516585,0.00822871985,0.0076575816
g723_enc,0.01260243685,0.010130824299999999,0.009361581900000002,0.009586805850000001,0.010324641150000001,0.008423404150000003,0.00787162915,0.007544471649999998
statemate,0.01680104585,0.013104855099999998,0.01169759695,0.011329494549999998,0.01332516035,0.009968852350000001,0.009271474,0.00861685915
duff,0.01009011695,0.008502543499999998,0.0078241593,0.0080444455,0.008959085050000001,0.007178819650000001,0.006878787799999999,0.006686545800000001
bsort,0.010208818000000001,0.00872284085,0.00821077315,0.008091814000000001,0.0088999635,0.007324840500000001,0.0069885955,0.00673897115
lms,0.015778969499999997,0.01254957145,0.0114117083,0.01098973,0.013352639599999999,0.009945625049999999,0.00920519585,0.00851245515
adpcm_enc,0.010882440100000002,0.008771804849999999,0.00817454765,0.008369783350000002,0.0089109144,0.00735276025,0.007073947700000001,0.006765159550000001
rijndael_dec,0.013443111200000002,0.010894916050000002,0.0098621425,0.010048290400000003,0.011189616449999999,0.008788468150000001,0.008255768550000002,0.007973124750000001
epic,0.37019827170000014,0.24796952074999998,0.20316742575000002,0.18761721594999997,0.18818300225,0.10892785469999999,0.08998186095,0.0741089808
rijndael_enc,0.013508256599999999,0.010896297400000001,0.009988976800000002,0.010584296449999999,0.0112221296,0.0088069122,0.0083371954,0.007795976950000001
pm,0.7016658173500001,0.46924913625000003,0.3831126547,0.3531463885,0.36288804745000003,0.20886534785,0.17118148830000002,0.1394398321
gsm_enc,0.31337543375,0.21027515785000003,0.17241379685,0.15919396489999998,0.16990123250000003,0.0986035613,0.08123842889999999,0.0670075302
ludcmp,0.009955212700000004,0.008615863649999998,0.0080342255,0.008540093300000001,0.008618807600000002,0.007382623350000001,0.00704044675,0.006776659650000001
h264_dec,0.012968326050000001,0.0104359313,0.009737021450000001,0.009499153500000001,0.010403717799999998,0.008386153149999999,0.0079310616,0.007578665900000001
deg2rad,0.01142928975,0.009271753349999998,0.00860916965,0.008506292349999998,0.00900892875,0.007620322399999999,0.007244845050000001,0.006911331300000001
fft,0.0401612145,0.02837608549999999,0.024256236,0.02319024325,0.0221036125,0.01488111175,0.01309741495,0.0116272941
countnegative,0.0099815006,0.00861740725,0.0081325713,0.008068338500000001,0.00903376675,0.007309471350000001,0.00689924975,0.0066556003
bitcount,0.010702954349999998,0.0090356791,0.008384845549999995,0.008357151299999999,0.009404749799999999,0.007671442000000002,0.00730824615,0.007012302100000001
matrix1,0.010309802199999999,0.008763723499999999,0.008204498250000001,0.0082812063,0.008821768499999999,0.0073720919499999996,0.007102623300000001,0.006778891100000001
iir,0.009766752149999999,0.008755123100000001,0.00811945235,0.00798429955,0.008562468650000002,0.0072542392,0.006949601050000001,0.006691526300000002
huff_enc,0.011509199250000001,0.00961124975,0.0089146339,0.0088911084,0.009805472800000001,0.008015169500000002,0.0076553929,0.007433144
mpeg2,12.197341871449998,8.11339902195,6.60951459775,6.0801532342,8.80469988025,4.9817928583,4.0555783451,3.2912138086500002
cosf,0.012157331000000002,0.009942862200000001,0.009277047199999998,0.009145175500000002,0.009897361200000001,0.0078437585,0.0074385431,0.00714687395
dijkstra,3.93167984975,2.6176484976000003,2.1333590985,1.9622786251000002,2.9900514841,1.6943090625500001,1.3788899909999999,1.1201580756000002
cjpeg_transupp,0.06220457979999999,0.04342276885000001,0.0365703059,0.03452332775,0.039429445900000006,0.024861124800000002,0.021266755300000002,0.018377233000000003
md5,0.3995941328,0.2677025159,0.21925648779999998,0.20295228124999998,0.33762198045,0.19343534735,0.1585396076,0.12961003399999999
fac,0.010500500099999999,0.00867023355,0.0082406863,0.0082802686,0.0090555799,0.0075484956999999995,0.00715258695,0.0069707578000000004
filterbank,0.01385698235,0.01119173445,0.01018641175,0.009999238550000001,0.010744249350000002,0.008429321750000003,0.007830527149999999,0.007400529900000001
minver,0.009920005649999999,0.008403984050000002,0.007852952700000002,0.008004381250000001,0.0087713611,0.0076120284,0.00717611875,0.00687022415
complex_updates,0.009833103399999998,0.008514729799999999,0.0079689551,0.008087889150000001,0.009201470399999998,0.007215856800000001,0.006888574449999999,0.006671350749999999
cover,0.00995018895,0.0084357107,0.007913255099999999,0.008061152200000001,0.008790762550000001,0.007447450749999999,0.007089698950000001,0.0068778689
insertsort,0.0099932262,0.008976665649999997,0.0079813743,0.00801692495,0.00853972435,0.00722129465,0.006824360700000001,0.006711133100000001
quicksort,0.10540871169999999,0.0721420647,0.05993656339999999,0.0560862325,0.0661022031,0.04021922315,0.033887761100000004,0.028469044699999994
jfdctint,0.010060983900000002,0.008582575450000001,0.0081313216,0.00868442785,0.008744447700000001,0.007266470549999999,0.006907524999999999,0.00669446385
cjpeg_wrbmp,0.01002554195,0.008738618650000002,0.0081003603,0.00811044195,0.00891726655,0.007614355399999999,0.007138663200000001,0.007244071850000001
cubic,0.14037872355,0.09548413355000002,0.07880556895000003,0.07321926129999999,0.12067233460000001,0.07082606389999999,0.05877511004999999,0.04882901005000001
petrinet,0.009903149699999999,0.008511593049999999,0.00808453965,0.008476779799999999,0.008784280549999999,0.00735652335,0.007071960600000001,0.006644731949999999
ammunition,11.4373554313,7.611284141550001,6.200606131500001,5.7048161159,6.369475596099999,3.6388074840499995,2.96063461245,2.3865141796500002
ndes,0.01582010895,0.012335098700000002,0.01107720135,0.0109729177,0.012766445999999997,0.00953189765,0.00889484555,0.008346951799999999
fir2dim,0.009803659149999998,0.00890155145,0.008136284050000001,0.007896409800000002,0.008677908799999998,0.007223507149999998,0.0070548847,0.0066951015
huff_dec,0.010473506950000001,0.008629277449999999,0.00810417175,0.00814665395,0.00886020775,0.007545871599999999,0.007030666100000001,0.006831705399999999
recursion,0.0101602488,0.00847084175,0.008046419600000002,0.008139290399999999,0.0089065331,0.007477306649999999,0.0076587546000000005,0.007011565
test3,8.5820824145,5.822349817049999,4.691733769700001,4.36913554995,7.550286758399997,4.42632931615,3.5595165670499993,2.9538796469500004
st,0.01620796085,0.0122688528,0.01100941805,0.010786644199999999,0.01257002205,0.009410557,0.0088738698,0.008346139
prime,0.0098683359,0.00852203045,0.0079655117,0.0082574994,0.00867967785,0.007191375300000001,0.007017333750000002,0.006697338950000001
