benchmark,A53_600MHz,A53_900MHz,A53_1104MHz,A53_1200MHz,A72_600MHz,A72_1056MHz,A72_1296MHz,A72_1596MHz
adpcm_dec,0.01023421965,0.009318036199999997,0.0080211131,0.0080356011,0.009000141800000002,0.007455056500000001,0.00719963805,0.006901781500000001
audiobeam,0.010957737,0.00934086305,0.008573895400000002,0.0087222739,0.009222997549999997,0.007860848049999999,0.0071634694999999984,0.007033104100000001
bitonic,0.010989207050000002,0.0092810931,0.0084952126,0.0083553719,0.00955469305,0.0076044673999999994,0.0073025541499999996,0.006977765499999999
sha,0.10166662414999998,0.0690577597,0.057462277949999994,0.053508857249999986,0.054893713450000006,0.0335810677,0.028359736749999996,0.024105909100000003
susan,4.104039462600001,2.7319003550500005,2.2267661721,2.0488074125,1.5197979849,0.86291645825,0.7034746599999998,0.57187523105
isqrt,0.06808873515,0.047684521600000015,0.03989206925,0.0370594799,0.061386801349999985,0.037361580250000005,0.0314456398,0.026441938550000006
fmref,0.051499806800000006,0.036330675050000004,0.03059900105,0.028815529550000007,0.02917414995,0.0190741583,0.016407978900000002,0.0143716513
binarysearch,0.009930833250000002,0.0084763062,0.00789589315,0.007713388699999999,0.008663966649999999,0.007214896000000001,0.00690033275,0.006746010450000001
gsm_dec,0.1870863915,0.12658346780000002,0.10423439174999997,0.09667807005000001,0.11207948195000002,0.06576848674999998,0.05477584989999999,0.0455043205
rad2deg,0.01091319755,0.00904515535,0.00862825825,0.008469823349999999,0.009144544950000002,0.007608835000000001,0.007213994749999998,0.007413736800000001
anagram,0.013738181950000001,0.0109688938,0.010082567450000001,0.01015595655,0.011648509349999999,0.0092395794,0.008583239450000002,0.007951756150000001
g723_enc,0.01393667265,0.01160275715,0.010169280950000002,0.01002944035,0.011025031549999998,0.008635608550000002,0.00812960955,0.007602560099999998
statemate,0.0169666226,0.013118122700000002,0.011645208,0.0113197006,0.013245850750000001,0.009934812900000001,0.009125257250000001,0.008546469
duff,0.00998475785,0.008592088500000001,0.008001294,0.00801358785,0.0087062913,0.007276690199999998,0.006930700850000001,0.006670938749999998
bsort,0.010146537800000001,0.0086343032,0.008228606500000003,0.0079479313,0.009279855600000001,0.0072354088,0.0068996825,0.00679404255
lms,0.026845403800000008,0.02002761745,0.01711767655,0.016989142199999998,0.014768235549999998,0.010886216049999998,0.01010801705,0.009047730399999999
adpcm_enc,0.0102749955,0.008697259750000002,0.008346989150000001,0.008193398299999998,0.0089626971,0.007546189850000001,0.007089604449999999,0.0069684581
rijndael_dec,0.01399176765,0.011349976400000001,0.010184987349999999,0.0102455702,0.01141564035,0.00887684515,0.008313507450000002,0.007780470399999999
epic,0.32308496340000004,0.21690573315,0.17796504240000005,0.1644461794,0.14678483994999997,0.08569539640000001,0.0710823143,0.05859875605
rijndael_enc,0.01377475015,0.010946492149999999,0.009980088949999997,0.009991970549999998,0.011498604700000001,0.00871361025,0.0081527727,0.00784448425
pm,0.8927395993999999,0.5959085030000001,0.4864681392,0.44847639615000007,0.4481721423500001,0.25600751410000006,0.2093934068,0.17165299455
