Tinf,Tinf_err,Tinf_per_ips,affinity,benchmark,flag,n_tasks,runtime
6.178,0.02,1.9960189038852003,A53,epic,O2,1,0.32308496340000004
4.28,0.29,0.042510112176,A53,cover,O2,1,0.0099322692
10.402,0.042,15.09147962759115,A72,dijkstra,O2,2,2.9016496111500003
11.307,0.067,0.04981185977872499,A72,fir2dim,O2,2,0.008810800349999998
8.051,0.037,0.9634290595232,A72,cubic,O2,1,0.1196657632
5.989,0.019,0.06567964026415,A53,deg2rad,O2,1,0.01096671235
8.855,0.048,86.21351770762502,A72,test3,O2,1,9.736139775000002
6.77,0.2,0.0171730152265,A53,bsort,O2,4,0.0101465378
8.566,0.055,0.07704729902460002,A72,jfdctint,O2,1,0.008994548100000001
5.805,0.084,0.08122221120824999,A53,rijndael_dec,O2,1,0.013991767649999999
12.347,0.037,0.07098663611544999,A72,rijndael_enc,O2,2,0.0114986047
6.24,0.29,0.063314395872,A53,bsort,O2,1,0.0101465378
5.868,0.018,0.0577508688018,A53,insertsort,O2,1,0.00984166135
5.741,0.061,0.057112763169600005,A53,prime,O2,1,0.0099482256
7.089,0.028,0.0176954870996625,A53,duff,O2,4,0.00998475785
5.946,0.018,64.6693694362302,A53,ammunition,O2,1,10.876113258699998
5.885,0.038,0.05999566590600001,A53,fir2dim,O2,1,0.010194675600000001
4.96,0.34,0.05096397768,A53,adpcm_enc,O2,1,0.0102749955
9.37,0.023,0.08433132866600002,A72,adpcm_dec,O2,1,0.009000141800000002
5.943,0.026,0.0612474983631,A53,jfdctint,O2,1,0.0103058217
8.401,0.039,24.376758383271152,A72,dijkstra,O2,1,2.9016496111500003
6.5,0.092,0.019818779337499995,A53,cosf,O2,4,0.012196171899999999
8.918,0.036,0.0790503880348,A72,minver,O2,1,0.0088641386
7.99,0.31,0.021822321657875,A53,matrix1,O2,4,0.01092481685
5.877,0.035,0.058363507010250004,A53,binarysearch,O2,1,0.009930833250000002
7.27,0.14,19.767335847687246,A53,ammunition,O2,4,10.876113258699998
7.962,0.027,0.4887617123486999,A72,isqrt,O2,1,0.061386801349999985
6.17,0.28,6.330480871060503,A53,susan,O2,4,4.104039462600002
8.616,0.027,0.08294655337680001,A72,petrinet,O2,1,0.009627037300000002
5.625,0.044,74.719750086,A53,test3,O2,1,13.2835111264
7.34,0.35,0.01822307901375,A53,binarysearch,O2,4,0.009930833250000002
5.756,0.062,0.7643618662604004,A53,quicksort,O2,1,0.13279393090000005
9.118,0.068,0.040834350954250004,A72,huff_dec,O2,2,0.008956865750000001
11.906,0.025,0.052768217085800005,A72,minver,O2,2,0.0088641386
6.924,0.028,0.23666085280440005,A53,cubic,O2,4,0.13671915240000002
6.072,0.018,0.0663354879132,A53,matrix1,O2,1,0.01092481685
9.298,0.036,0.07979870750130001,A72,complex_updates,O2,1,0.008582351850000001
11.581,0.017,0.055326450106025,A72,bitonic,O2,2,0.00955469305
11.409,0.034,0.16642393838977504,A72,fmref,O2,2,0.029174149950000002
12.34,0.71,0.6915304036315002,A72,gsm_dec,O2,2,0.11207948195000003
11.794,0.029,0.051340999796100004,A72,duff,O2,2,0.0087062913
8.6,0.064,0.08792743973999999,A72,bitcount,O2,1,0.0102241209
8.579,0.034,0.7070517999276501,A72,quicksort,O2,1,0.08241657535000001
7.944,0.024,0.06929708769239999,A72,insertsort,O2,1,0.00872319835
6.65,0.33,0.018185192410000002,A53,fac,O2,4,0.0109384616
11.703,0.03,2.6224792909610253,A72,pm,O2,2,0.4481721423500001
11.341,0.079,0.05797587756344999,A72,bitcount,O2,2,0.0102241209
11.442,0.05,0.47150522757735003,A72,quicksort,O2,2,0.08241657535000001
6.543,0.024,0.019084615856999994,A53,huff_enc,O2,4,0.011667195999999998
5.815,0.071,0.0908902229935,A53,ndes,O2,1,0.0156303049
10.992,0.019,33.6021494770596,A72,ammunition,O2,2,6.113928216349999
5.64,0.2,0.056306700018,A53,recursion,O2,1,0.00998345745
5.631,0.023,0.5724847605886499,A53,sha,O2,1,0.10166662414999998
7.24,0.37,0.019752887565499998,A53,rad2deg,O2,4,0.010913197549999998
5.933,0.025,0.06031224196809999,A53,minver,O2,1,0.010165555699999999
7.61,0.31,0.018926499204000004,A53,prime,O2,4,0.0099482256
7.581,0.029,0.06790199925075001,A72,huff_dec,O2,1,0.008956865750000001
12.4,0.12,0.07077697017,A72,rijndael_dec,O2,2,0.011415640349999999
12.165,0.041,0.05600341988925,A72,matrix1,O2,2,0.0092073029
9.76,0.32,0.08770493038399998,A72,deg2rad,O2,1,0.008986160899999998
5.05,0.31,0.06966983938999999,A53,filterbank,O2,1,0.0137960078
8.348,0.029,12.687273577945202,A72,susan,O2,1,1.5197979849
8.732,0.023,0.0431234960965,A72,huff_enc,O2,2,0.00987711775
9.25,0.23,0.085167551825,A72,matrix1,O2,1,0.0092073029
6.858,0.033,0.023055104813625,A53,h264_dec,O2,4,0.01344713025
