# Started at: 2021-04-23 20:52:13 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance2/1/RALTF1.json.yaml.csv -- demos-sched -c /root/experiment8/Instance2/RALTF1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
22992.2,36200,37000,36600,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8496747.097291773,,,,,,,,62,54,42,38.3838,65.6566,57.5758
23992.4,36600,37700,37200,36000,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8761559.352512822,,,,,,,,32.3232,30.6931,31,30.6931,80.8081,72
24991.9,36600,38500,37000,36200,36600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8933522.753130684,,,,,,,,30.303,24.2424,13.8614,9.09091,82.3529,73
25992.8,37200,39300,37500,36200,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8812584.675861385,,,,,,,,60.396,52.9412,41,38,68,67.6471
26992.5,37000,38900,37700,36400,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8238966.580270944,,,,,,,,63,53.5354,42.5743,38,65.3061,57.5758
27992.4,37200,38500,37700,36600,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8496392.903522762,,,,,,,,39,36.6337,36.3636,36.6337,80.198,71
28992.4,37500,39700,37700,36600,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8643063.860618345,,,,,,,,31.6832,25.2525,14.8515,10.101,83,75
29991.9,37500,39700,38100,37400,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8946199.939240016,,,,,,,,52.5253,45,34,30,68.6869,65.6566
30453.5,,,,,,,,,,,,,,67.24,63.52,,,,,,,,,,,,,,
30992,37900,40100,38300,37200,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8392973.509569544,,,,,,,,62.6263,54,41.8367,38.3838,66,59.4059
31350.2,,,,,,,,,,,,,26.295,,,,,,,,,,,,,,,,
31992.1,38100,39700,38300,37400,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8488966.189894646,,,,,,,,46.5347,43.4343,42,38.6139,79.798,72
32992,38300,40500,38700,37500,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8759375.624982612,,,,,,,,32.3529,25,16.8317,16,83.3333,74.7475
33991.9,38100,40300,38700,37900,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8976037.74651209,,,,,,,,44.898,38.6139,27,23,67.6768,65
34992.1,38300,40500,38900,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8561834.467989175,,,,,,,,62.3762,53.5354,42,39.604,66,58
35992.3,38700,39500,39100,38300,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8866660.301813144,,,,,,,,53.4653,50.495,42,38,74.7475,66.3366
36992.6,39100,39700,39300,38100,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9038634.788661575,,,,,,,,31,25.2525,23,22.2222,82.1782,73.7374
37992.5,38700,40900,39300,38100,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8893453.795108879,,,,,,,,38.7755,31.6832,19.1919,16,74.7475,72
38992.3,38900,41300,39500,38300,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8661936.994090771,,,,,,,,61.6162,54,42.5743,39,66,57.4257
39992.6,39100,40100,39900,38700,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8787551.864060987,,,,,,,,61.165,53.5354,42.4242,38,67.3267,59.596
40562.9,,,,,,,,,,,,,,67.69,63.52,,,,,,,,,,,,,,
40992.3,39700,40500,39900,38700,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8922178.089407144,,,,,,,,35,29.2929,29.703,30,81.8182,73.2673
41410,,,,,,,,,,,,,26.305,,,,,,,,,,,,,,,,
41992.6,39500,41700,40300,39100,39300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8941552.757941335,,,,,,,,32.3232,24.7525,13,9,81,73
42991.8,39500,42100,40100,39100,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8836775.388981568,,,,,,,,61.6162,53.5354,43,39,67,64
43991.9,39700,41500,40300,39300,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8358078.248942818,,,,,,,,62,53.4653,42,38.3838,66,58
44992.5,40300,40900,40700,39300,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8627086.600236416,,,,,,,,36,33.3333,33.6634,33,79.798,71.2871
45992.8,40300,41500,40700,39700,39700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8858597.16968245,,,,,,,,31,25,14.1414,11,83.1683,75
46992.1,40300,42600,41100,39900,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8928643.046580395,,,,,,,,55.8824,49,37.6238,33.6634,68,66
47992.5,40300,42600,41100,39900,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8377034.426658477,,,,,,,,61.6162,53,42,39,66,58
48992.1,40900,42500,41300,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8475546.053346345,,,,,,,,44,42.1569,41,38.3838,79.798,71
49992.8,40900,43200,41500,40100,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8796967.91028193,,,,,,,,30.303,25,14,12,83.1683,74.2574
50671.6,,,,,,,,,,,,,,67.61,63.60,,,,,,,,,,,,,,
50992.5,40700,43200,41500,40300,40700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9082393.844837308,,,,,,,,50,45.4545,30,27,69.3069,65
51470.2,,,,,,,,,,,,,26.305,,,,,,,,,,,,,,,,
51992.2,40700,43200,41900,40700,40700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8614366.19515993,,,,,,,,61,54,43,39,65.6566,58
52992.3,41300,43600,41900,40700,41100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8844007.151225036,,,,,,,,50.5051,47,42,39,77,68.6869
53992.3,41500,42800,41900,41100,41100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9031528.348262107,,,,,,,,32.3529,25.2525,19,19,82,74
