instance,solver,time,objective-reported,objective,length
IN_072.json-global.out,ILP Solver (global):predictor (Python),76,1.6884759476973397,1.6884759476973397,149
IN_073.json-bap.out,BAP,2331,0.694631971891008,0.694631971891008,114
IN_073.json-global.out,ILP Solver (global):predictor (Python),206,0.6946319718910079,0.694631971891008,114
IN_074.json-bap.out,BAP,706,0.9990855399513542,0.9990855399513542,96
IN_074.json-global.out,ILP Solver (global):predictor (Python),31,0.9990855399513536,0.9990855399513542,96
IN_075.json-bap.out,BAP,647,1.3545990007489792,1.3545990007489792,207
IN_075.json-global.out,ILP Solver (global):predictor (Python),150,1.354599000748979,1.3545990007489792,207
IN_076.json-bap.out,BAP,1081,0.6261043320951847,0.6261043320951847,162
IN_076.json-global.out,ILP Solver (global):predictor (Python),1382,0.6261043320951847,0.6261043320951847,162
IN_077.json-bap.out,BAP,421,0.8671081992319153,0.8671081992319153,145
IN_077.json-global.out,ILP Solver (global):predictor (Python),225,0.8671081992319151,0.8671081992319153,145
IN_078.json-bap.out,BAP,557,0.7712431085550217,0.7712431085550217,118
IN_078.json-global.out,ILP Solver (global):predictor (Python),1005,0.7712431085550207,0.7712431085550218,118
IN_079.json-bap.out,BAP,469,0.3123695207982822,0.3123695207982822,378
IN_079.json-global.out,ILP Solver (global):predictor (Python),4542,0.31236952079828045,0.31236952079828223,378
IN_080.json-bap.out,BAP,28,-1,0.0,0
IN_080.json-global.out,ILP Solver (global):predictor (Python),7,-1,0.0,0
IN_081.json-bap.out,BAP,690,0.4249661636491202,0.4249661636491202,141
IN_081.json-global.out,ILP Solver (global):predictor (Python),1478,0.42496616364911777,0.4249661636491202,141
IN_082.json-bap.out,BAP,741,0.23717718105988828,0.23717718105988828,279
IN_082.json-global.out,ILP Solver (global):predictor (Python),7165,0.23717718105987845,0.2371771810598883,279
IN_083.json-bap.out,BAP,13724,2.5758317519166085,2.5758317519166085,105
IN_083.json-global.out,ILP Solver (global):predictor (Python),61,2.5758317519166085,2.575831751916609,105
IN_084.json-bap.out,BAP,7588,2.11006459538727,2.11006459538727,109
IN_084.json-global.out,ILP Solver (global):predictor (Python),9,2.1100645953872705,2.11006459538727,109
IN_085.json-bap.out,BAP,2082,0.24864083968254413,0.24864083968254413,133
IN_085.json-global.out,ILP Solver (global):predictor (Python),4519,0.24864083968254408,0.24864083968254408,133
IN_086.json-bap.out,BAP,2957,0.8529867360052256,0.8529867360052256,154
IN_086.json-global.out,ILP Solver (global):predictor (Python),357,0.8529867360052248,0.8529867360052256,154
IN_087.json-bap.out,BAP,1053,0.8522266019998946,0.8522266019998946,132
IN_087.json-global.out,ILP Solver (global):predictor (Python),343,0.8522266019998948,0.8522266019998946,132
IN_088.json-bap.out,BAP,543,0.41535315545665547,0.41535315545665547,239
IN_088.json-global.out,ILP Solver (global):predictor (Python),5521,0.41535315545663976,0.41535315545665547,239
IN_089.json-bap.out,BAP,617,0.9664645083283073,0.9664645083283073,96
IN_089.json-global.out,ILP Solver (global):predictor (Python),106,0.9664645083283068,0.9664645083283073,96
IN_090.json-bap.out,BAP,6724,1.0169860677309015,1.0169860677309015,91
IN_090.json-global.out,ILP Solver (global):predictor (Python),408,1.0169860677309015,1.0169860677309015,91
IN_091.json-bap.out,BAP,754,0.6497277502661395,0.6497277502661395,137
IN_091.json-global.out,ILP Solver (global):predictor (Python),413,0.6497277502661394,0.6497277502661396,137
IN_092.json-bap.out,BAP,18181,0.9603449579493262,0.9603449579493262,149
IN_092.json-global.out,ILP Solver (global):predictor (Python),100,0.9603449579493234,0.9603449579493262,149
IN_093.json-bap.out,BAP,759,1.624425876783195,1.624425876783195,141
IN_093.json-global.out,ILP Solver (global):predictor (Python),101,1.6244258767831938,1.624425876783195,141
IN_094.json-bap.out,BAP,7587,0.7010503045484272,0.7010503045484272,163
IN_094.json-global.out,ILP Solver (global):predictor (Python),355,0.7010503045484265,0.7010503045484272,163
IN_095.json-bap.out,BAP,2202,0.7988380753376624,0.7988380753376624,224
IN_095.json-global.out,ILP Solver (global):predictor (Python),1190,0.7988380753376624,0.7988380753376627,224
IN_096.json-bap.out,BAP,588,1.3376293465866498,1.3376293465866498,154
IN_096.json-global.out,ILP Solver (global):predictor (Python),212,1.3376293465866467,1.3376293465866496,154
IN_097.json-bap.out,BAP,711,1.5913278203231718,1.5913278203231718,127
IN_097.json-global.out,ILP Solver (global):predictor (Python),52,1.5913278203231718,1.5913278203231718,127
IN_098.json-bap.out,BAP,3709,0.9847489906275231,0.9847489906275231,168
IN_098.json-global.out,ILP Solver (global):predictor (Python),290,0.9847489906275217,0.9847489906275232,168
IN_099.json-bap.out,BAP,613,1.1482500903052708,1.1482500903052708,180
IN_099.json-global.out,ILP Solver (global):predictor (Python),182,1.148250090305269,1.148250090305271,180
