instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0825,RandomGenerator,0,3,1000,2.4937600000000004,2.0954200000000003,0.93083615,5.852526991362917
inst_0125,RandomGenerator,0,3,1000,3.90942,4.49682,1.86280183,6.096374561069277
inst_0043,RandomGenerator,0,3,1000,2.2681,2.01831,1.21743852,5.874903302811116
inst_0385,RandomGenerator,0,2,1000,2.86586,2.10731,0.56816517,5.891493743183368
inst_0266,RandomGenerator,0,2,1000,1.269,0.94541,0.6560550700000001,5.958866854594539
inst_0646,RandomGenerator,0,5,1000,4.12535,5.285629999999999,3.0533424100000004,6.907150820195713
inst_0124,RandomGenerator,0,4,1000,3.8897,3.6372,2.9022219,6.729594735435136
inst_0294,RandomGenerator,0,1,1000,1.22941,0.95388,0.58472844,5.756476093639063
inst_0130,RandomGenerator,0,2,1000,0.6584,0.83442,0.4755516,5.526090975195184
inst_0161,RandomGenerator,0,6,1000,3.84739,5.75858,2.5116216700000003,6.476914985813729
inst_0139,RandomGenerator,0,5,1000,3.91954,4.346970000000001,2.33028776,6.525594734265361
inst_0588,RandomGenerator,0,4,1000,4.19234,4.90987,2.26960582,6.548288362765784
inst_0721,RandomGenerator,0,3,1000,1.86878,2.45519,0.45238046,5.514503273975205
inst_0677,RandomGenerator,0,3,1000,4.3662600000000005,4.34062,2.82112462,7.102671511161317
inst_0981,RandomGenerator,0,3,1000,2.00256,2.06195,0.93118477,6.279801036300272
inst_0055,RandomGenerator,0,3,1000,2.25247,3.60707,0.71061432,5.8486928727902
inst_0586,RandomGenerator,0,3,1000,1.33043,1.63653,0.5740369999999999,5.564333577864686
inst_0491,RandomGenerator,0,2,1000,3.04902,2.61311,0.7477369699999998,5.785812671919231
inst_0997,RandomGenerator,0,3,1000,0.50686,0.95755,0.31228629,5.507891325078839
inst_0318,RandomGenerator,0,3,1000,2.0484,2.4476,0.7989598000000001,5.758965034856459
inst_0015,RandomGenerator,0,3,1000,0.88375,1.4348200000000002,0.24391728,5.439892569318792
inst_0684,RandomGenerator,0,2,1000,2.15524,1.77415,0.8373749200000001,5.941443425036635
inst_0357,RandomGenerator,0,3,1000,3.42182,3.17229,1.84929459,6.331959843180653
inst_0036,RandomGenerator,0,3,1000,1.40132,1.59627,0.4498722699999999,5.657173816692625
inst_0737,RandomGenerator,0,3,1000,3.10899,2.7568900000000003,1.86632109,5.854664149599694
inst_0182,RandomGenerator,0,2,1000,0.80669,0.7752300000000001,0.34425254,5.430419678696012
inst_0466,RandomGenerator,0,3,1000,3.06667,3.06696,1.0861936,6.252930871608787
inst_0143,RandomGenerator,0,4,1000,3.1454,3.17559,1.9865473100000004,6.215603743699062
