instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
inst_0859,RandomGenerator,0,1,3000,2.3182400000000003,1.3565200000000002,0.9956856800000002
inst_0710,RandomGenerator,0,5,3000,4.32719,4.526020000000001,2.54306
inst_0666,RandomGenerator,0,3,3000,3.516853333333333,3.4902399999999996,1.1040908066666666
inst_0324,RandomGenerator,0,3,3000,0.6421333333333333,1.3529200000000001,0.4144746233333333
inst_0867,RandomGenerator,0,4,3000,5.4523166666666665,6.716629999999999,2.5299784566666665
inst_0973,RandomGenerator,0,4,3000,2.7435666666666667,2.97026,1.3855387666666668
inst_0986,RandomGenerator,0,3,3000,2.6670466666666663,2.41214,0.6048190466666666
inst_0027,RandomGenerator,0,1,3000,1.9705333333333335,1.3565200000000002,0.6488687333333334
inst_0459,RandomGenerator,0,3,3000,2.9601933333333332,2.73513,1.6145870599999999
inst_0888,RandomGenerator,0,2,3000,1.3747999999999998,1.52495,0.5532987333333333
inst_0374,RandomGenerator,0,5,3000,2.4045799999999997,3.1892600000000004,1.8357654133333334
inst_0604,RandomGenerator,0,2,3000,2.29306,2.25965,1.1344085233333334
inst_0935,RandomGenerator,0,4,3000,3.9213266666666664,4.62535,3.066898823333333
inst_0807,RandomGenerator,0,3,3000,3.3678333333333335,4.4442,0.99455944
inst_0704,RandomGenerator,0,4,3000,3.0871633333333333,3.1290400000000003,0.6524460333333333
inst_0299,RandomGenerator,0,3,3000,3.330926666666666,3.03186,1.4632165366666667
inst_0488,RandomGenerator,0,3,3000,2.670136666666666,4.292299999999999,0.7440296999999999
inst_0884,RandomGenerator,0,3,3000,3.5349799999999996,2.74587,1.75368825
inst_0489,RandomGenerator,0,2,3000,2.4576733333333336,2.2792,0.8733968533333334
inst_0676,RandomGenerator,0,4,3000,4.933263333333333,4.44371,3.0598505066666664
inst_0481,RandomGenerator,0,4,3000,5.659146666666667,5.32166,3.7718367266666664
inst_0301,RandomGenerator,0,4,3000,4.25478,3.8970100000000003,2.69061954
inst_0073,RandomGenerator,0,3,3000,4.08007,3.763409999999999,2.32097419
inst_0108,RandomGenerator,0,4,3000,4.251793333333333,6.003700000000001,0.9940854366666667
inst_0870,RandomGenerator,0,2,3000,2.64279,1.7911200000000003,1.3655075300000001
inst_0901,RandomGenerator,0,3,3000,2.811346666666667,3.84087,0.5388000866666667
inst_0506,RandomGenerator,0,3,3000,3.784233333333334,3.9151100000000008,1.7969582033333333
inst_0386,RandomGenerator,0,3,3000,1.4324833333333333,1.4734200000000002,0.3614587933333333
inst_0648,RandomGenerator,0,2,3000,2.6769000000000003,2.12439,1.21739184
inst_0358,RandomGenerator,0,4,3000,2.216756666666667,3.1072700000000006,1.2763808766666667
inst_0225,RandomGenerator,0,4,3000,2.8434666666666666,3.0790200000000003,1.2357986233333333
inst_0643,RandomGenerator,0,1,3000,2.24375,1.7111800000000004,0.49909416666666667
inst_0564,RandomGenerator,0,3,3000,3.37628,4.48545,1.0894362000000002
inst_0450,RandomGenerator,0,2,3000,0.6628766666666667,0.72767,0.5658830366666667
inst_0781,RandomGenerator,0,2,3000,2.1166199999999997,2.07445,0.42466743000000007
inst_0822,RandomGenerator,0,3,3000,2.7463100000000003,3.0523100000000003,1.76998183
inst_0503,RandomGenerator,0,1,3000,0.4266666666666667,0.40036,0.17082026666666664
inst_0162,RandomGenerator,0,3,3000,1.4698066666666667,2.26303,0.2752462366666667
inst_0003,RandomGenerator,0,4,3000,3.613036666666667,3.9303700000000004,1.9228459500000001
inst_0984,RandomGenerator,0,4,3000,4.957303333333333,4.19974,3.4851721233333337
inst_0005,RandomGenerator,0,2,3000,2.875123333333333,2.26314,0.5683119533333334
inst_0501,RandomGenerator,0,5,3000,4.01168,4.706580000000001,2.40584059
inst_0559,RandomGenerator,0,1,3000,1.71585,0.8176699999999999,0.76125077
inst_0093,RandomGenerator,0,3,3000,4.033816666666667,3.29622,1.9541136766666665
inst_0841,RandomGenerator,0,3,3000,3.482083333333333,2.40243,1.9021795633333332
inst_0960,RandomGenerator,0,2,3000,2.7087666666666665,2.17773,1.2422292566666666
inst_0407,RandomGenerator,0,3,3000,1.9988733333333333,2.1094999999999997,1.2107255633333334
inst_0716,RandomGenerator,0,3,3000,3.75329,2.9850399999999997,1.6000211599999998
inst_0726,RandomGenerator,0,4,3000,5.749313333333333,6.91203,3.1285730500000004
inst_0356,RandomGenerator,0,1,3000,0.7434400000000001,0.9262,0.5853584
inst_0320,RandomGenerator,0,2,3000,1.6025600000000002,1.1750099999999999,0.4718360799999999
inst_0661,RandomGenerator,0,5,3000,3.796386666666667,4.92876,2.59141349
inst_0218,RandomGenerator,0,3,3000,4.33442,5.55743,0.72634096
inst_0853,RandomGenerator,0,6,3000,4.1563566666666665,6.53872,2.48354513
inst_0748,RandomGenerator,0,3,3000,2.3327400000000003,2.38644,1.13527208
inst_0144,RandomGenerator,0,4,3000,3.019453333333333,3.6639699999999995,1.4072175433333332
inst_0312,RandomGenerator,0,4,3000,2.8605699999999996,3.3671499999999996,1.833420123333333
inst_0508,RandomGenerator,0,4,3000,1.6305666666666665,1.7843499999999997,0.7272661266666666
inst_0013,RandomGenerator,0,2,3000,2.7768499999999996,2.57552,0.12042771666666668
inst_0628,RandomGenerator,0,4,3000,4.684803333333333,6.035830000000001,2.762061886666667
inst_0830,RandomGenerator,0,3,3000,3.8219066666666666,4.18093,1.6516470366666667
inst_0920,RandomGenerator,0,5,3000,4.825853333333334,5.22804,2.783963303333334
inst_0658,RandomGenerator,0,1,3000,1.3045466666666665,0.7,0.061366666666666674
inst_0498,RandomGenerator,0,1,3000,1.5365,0.6760900000000001,0.55845034
inst_0114,RandomGenerator,0,2,3000,2.10906,1.9739999999999998,0.9601525166666667
inst_0989,RandomGenerator,0,5,3000,4.615473333333333,6.34134,2.9182131700000005
inst_0968,RandomGenerator,0,3,3000,1.8088566666666666,3.19122,0.6854073533333334
inst_0200,RandomGenerator,0,5,3000,4.999983333333334,5.598419999999999,2.8328292033333335
inst_0490,RandomGenerator,0,5,3000,5.263826666666667,5.198499999999999,3.3727822666666665
inst_0883,RandomGenerator,0,4,3000,2.0079333333333333,2.4288100000000004,1.0885070733333335
inst_0165,RandomGenerator,0,3,3000,1.6183466666666666,1.70057,0.4205126966666667
inst_0104,RandomGenerator,0,4,3000,3.9072733333333334,5.032769999999999,2.6924840700000003
inst_0270,RandomGenerator,0,4,3000,3.535623333333333,4.26542,1.4769185100000002
inst_0742,RandomGenerator,0,3,3000,2.116016666666667,1.9835399999999999,1.3640735666666668
inst_0951,RandomGenerator,0,2,3000,2.7307433333333333,1.65719,1.4734196233333332
inst_0432,RandomGenerator,0,3,3000,3.18313,3.98619,1.6802266666666668
inst_0019,RandomGenerator,0,4,3000,3.1385333333333327,4.16282,1.7729782333333333
inst_0075,RandomGenerator,0,1,3000,0.41997333333333337,0.35734,0.19486941333333335
inst_0511,RandomGenerator,0,2,3000,1.35525,1.2365700000000002,0.7708896100000002
inst_0096,RandomGenerator,0,2,3000,3.740693333333333,2.74676,1.6349129433333334
inst_0967,RandomGenerator,0,1,3000,1.9461866666666667,1.03456,0.5986653866666667
