instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power
inst_0991,RandomGenerator,0,2,1000,2.06816,1.90978,0.68765117,5.817863437764249
inst_0808,RandomGenerator,0,2,1000,0.69531,0.8524000000000002,0.5598004500000002,5.59884177219916
inst_0689,RandomGenerator,0,5,1000,6.2555,5.995939999999999,3.6729628400000007,7.927599094987689
inst_0227,RandomGenerator,0,2,1000,1.24138,1.19214,0.50918086,5.724020321246267
inst_0814,RandomGenerator,0,1,1000,1.09224,0.6251599999999999,0.28507296,5.5909121381019755
inst_0173,RandomGenerator,0,3,1000,2.3366,2.23632,1.45469183,6.288583540094414
inst_0856,RandomGenerator,0,3,1000,3.98529,3.08068,2.2110856200000004,6.3401018944953975
inst_0985,RandomGenerator,0,4,1000,2.74459,3.76449,0.61374106,5.732892414873657
inst_0913,RandomGenerator,0,3,1000,2.22606,2.94425,1.13941989,6.06556448097399
inst_0855,RandomGenerator,0,3,1000,2.62351,2.45488,1.4049783800000002,5.908852278690604
inst_0678,RandomGenerator,0,5,1000,3.53696,3.96202,2.07268913,5.91377995051703
inst_0964,RandomGenerator,0,2,1000,3.28504,2.72248,1.2263847999999995,6.040215012422019
inst_0175,RandomGenerator,0,3,1000,1.44808,1.5681200000000002,0.46866426,5.553061512391354
inst_0757,RandomGenerator,0,3,1000,3.10546,3.0424300000000004,1.1560360500000002,6.064405254200047
inst_0464,RandomGenerator,0,4,1000,1.53411,2.6855200000000004,1.05330627,6.196774344469276
inst_0905,RandomGenerator,0,3,1000,2.52136,2.47545,1.2109228600000002,5.78213957521802
inst_0719,RandomGenerator,0,4,1000,3.02896,3.74333,1.0158457900000002,5.912330602785797
inst_0282,RandomGenerator,0,1,1000,1.14104,0.70367,0.06825599,5.444640912626583
inst_0908,RandomGenerator,0,3,1000,3.476,3.14434,1.44716258,6.42422476197262
inst_0824,RandomGenerator,0,4,1000,4.119809999999999,3.40874,2.95251741,6.9553913190039385
inst_0671,RandomGenerator,0,3,1000,3.53735,3.1833100000000005,1.5238172100000005,6.208194877979837
inst_0069,RandomGenerator,0,4,1000,3.22593,3.2981000000000003,2.33702321,6.410300824035194
inst_0353,RandomGenerator,0,4,1000,4.41193,3.62142,2.53828648,6.3700666617875985
inst_0959,RandomGenerator,0,3,1000,1.4026599999999998,1.8833800000000005,0.94455131,6.23974755228381
inst_0659,RandomGenerator,0,4,1000,4.0122,3.95179,2.00971632,6.223132665570176
inst_0241,RandomGenerator,0,2,1000,3.40548,2.70915,1.31739912,6.0964059208706285
inst_0276,RandomGenerator,0,2,1000,1.2825,1.2221700000000002,0.37909296,5.736843364690922
inst_0893,RandomGenerator,0,3,1000,0.78944,1.40686,0.6945688,5.5361477599921685
inst_0098,RandomGenerator,0,4,1000,3.36048,3.38607,2.02835759,5.973255902239339
inst_0422,RandomGenerator,0,2,1000,1.6171,1.41261,0.91048662,6.074081865533517
inst_0864,RandomGenerator,0,4,1000,3.54369,4.27602,2.35218127,7.753439931598586
inst_0350,RandomGenerator,0,5,1000,4.89686,5.4842,3.10230073,6.4484238594872245
inst_0578,RandomGenerator,0,2,1000,2.29677,2.09258,1.11811253,5.93396821088465
inst_0545,RandomGenerator,0,2,1000,0.67074,0.82896,0.52277346,5.509716558703662
inst_0708,RandomGenerator,0,5,1000,3.77767,3.92847,1.8411948,6.18953792483188
inst_0700,RandomGenerator,0,2,1000,2.30304,1.80707,0.68686041,5.715483640100693
inst_0101,RandomGenerator,0,4,1000,2.90509,3.32407,1.96438781,6.427229611004393
inst_0669,RandomGenerator,0,2,1000,2.62027,2.61533,1.03974743,5.9302085130267805
inst_0396,RandomGenerator,0,4,1000,4.08148,4.47109,2.82577513,6.250457588796705
inst_0732,RandomGenerator,0,6,1000,5.10149,5.8568,3.82335135,7.304970136893236
inst_0679,RandomGenerator,0,1,1000,0.9675,0.56416,0.1071903999999999,5.524425425898228
inst_0524,RandomGenerator,0,4,1000,2.48428,2.58376,1.7039834799999998,6.142820816115557
inst_0080,RandomGenerator,0,3,1000,1.78566,2.74477,0.2983359,5.751416380256578
inst_0319,RandomGenerator,0,3,1000,2.58307,2.6704600000000003,1.52375623,5.980773152557401
inst_0664,RandomGenerator,0,4,1000,2.23874,3.01701,0.96638171,5.704964518740615
inst_0151,RandomGenerator,0,3,1000,5.14296,4.89939,2.2076241100000003,6.522051249816499
inst_0616,RandomGenerator,0,2,1000,2.65598,1.82374,1.24332887,5.89879213423086
inst_0509,RandomGenerator,0,3,1000,2.1668000000000003,2.82573,0.57322172,5.7795623560942575
inst_0323,RandomGenerator,0,3,1000,3.19496,2.2803500000000003,1.86146108,6.138006537668258
inst_0833,RandomGenerator,0,3,1000,2.9762,2.7043700000000004,1.6073185400000003,5.812906124485105
inst_0873,RandomGenerator,0,4,1000,1.93842,2.1303,0.99997234,5.778659997166889
inst_0784,RandomGenerator,0,2,1000,2.62217,2.35844,1.12854395,5.82367455542267
inst_0149,RandomGenerator,0,3,1000,2.7833900000000003,2.18407,1.7169100100000003,5.9370667283830265
inst_0640,RandomGenerator,0,2,1000,3.66932,2.5407,1.6764144799999998,6.095048324163252
inst_0649,RandomGenerator,0,3,1000,2.78018,3.06333,0.8764987500000001,6.0797063484150495
inst_0691,RandomGenerator,0,3,1000,4.90132,4.244439999999999,2.7603180699999994,6.789972221250593
inst_0410,RandomGenerator,0,3,1000,1.92753,2.77838,0.57833988,5.8313243730413795
inst_0263,RandomGenerator,0,2,1000,3.737,2.5734000000000004,1.60285788,6.382291580632552
inst_0213,RandomGenerator,0,4,1000,2.96836,3.99586,1.8222099600000004,6.38509651287939
inst_0448,RandomGenerator,0,2,1000,1.5672,1.24166,1.0144287,6.147911143747542
inst_0329,RandomGenerator,0,2,1000,2.51529,2.35194,0.29835938,5.44143828828216
inst_0687,RandomGenerator,0,3,1000,3.95674,3.735370000000001,2.40432301,6.057927505436752
inst_0611,RandomGenerator,0,4,1000,3.50408,3.3062,2.20185206,6.180061998394049
inst_0907,RandomGenerator,0,3,1000,1.87945,1.87858,1.64294201,6.540805389789857
inst_0246,RandomGenerator,0,3,1000,2.46234,2.6576500000000003,0.98181572,5.680570203459622
inst_0530,RandomGenerator,0,5,1000,2.12427,2.67709,1.50023334,5.839025550511669
inst_0701,RandomGenerator,0,2,1000,1.36292,1.2069200000000002,0.5036744900000001,5.825889038611791
inst_0886,RandomGenerator,0,2,1000,3.34646,2.61311,1.10215956,5.688132372844889
inst_0801,RandomGenerator,0,5,1000,2.81698,3.51773,1.43909327,5.888888730156484
inst_0652,RandomGenerator,0,4,1000,3.30145,3.63968,2.36935666,6.811541331871245
inst_0512,RandomGenerator,0,4,1000,3.28144,3.2387300000000003,1.36866286,5.787524463938825
inst_0437,RandomGenerator,0,3,1000,3.29895,2.7072200000000004,2.04529029,6.694889359265685
inst_0899,RandomGenerator,0,2,1000,0.4306,0.6983,0.2548795,5.633460771305945
inst_0197,RandomGenerator,0,1,1000,1.44048,1.39051,0.01112408,5.310247485114867
