instance,solver,time,objective-reported,objective,length,metadata
IN_06.json-bap.out,BAP_ON_PAIRS,410,0.2399743573119243,0.2399743573119243,581,"{""objective"": ""0.2399743573119243"", ""number_of_nodes"": ""9"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.05"", ""time_sub_solving"": ""0.24"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""0.231698"", ""patterns_generated_avg"": ""2.67"", ""optimal"": ""True""}"
IN_06.json-global.out,ILP Solver (global):predictor (Python),81,0.23997435731192418,0.2399743573119243,581,"{""objective"": ""0.23997435731192418""}"
IN_07.json-bap-task.out,BAP_ON_TASKS,1029,0.2637903575350841,0.26379035753508406,581,"{""objective"": ""0.2637903575350841"", ""number_of_nodes"": ""15"", ""time_masters_init"": ""0.04"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.14"", ""time_sub_solving"": ""0.66"", ""time_global"": ""0.05"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.07"", ""master_relaxation"": ""0.261527"", ""patterns_generated_avg"": ""4.40"", ""optimal"": ""True""}"
IN_07.json-bap.out,BAP_ON_PAIRS,712,0.26379035753508406,0.26379035753508406,581,"{""objective"": ""0.26379035753508406"", ""number_of_nodes"": ""11"", ""time_masters_init"": ""0.02"", ""time_masters_solving"": ""0.01"", ""time_sub_init"": ""0.07"", ""time_sub_solving"": ""0.45"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.12"", ""master_relaxation"": ""0.261527"", ""patterns_generated_avg"": ""3.18"", ""optimal"": ""True""}"
IN_07.json-global.out,ILP Solver (global):predictor (Python),206,0.26379035753508406,0.26379035753508406,581,"{""objective"": ""0.26379035753508406""}"
IN_08.json-bap-task.out,BAP_ON_TASKS,272,0.314170820924143,0.314170820924143,696,"{""objective"": ""0.314170820924143"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.04"", ""time_sub_solving"": ""0.19"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.01"", ""master_relaxation"": ""0.314171"", ""patterns_generated_avg"": ""21.00"", ""optimal"": ""True""}"
IN_08.json-bap.out,BAP_ON_PAIRS,303,0.314170820924143,0.314170820924143,696,"{""objective"": ""0.314170820924143"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.01"", ""time_masters_solving"": ""0.00"", ""time_sub_init"": ""0.04"", ""time_sub_solving"": ""0.20"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.03"", ""master_relaxation"": ""0.314171"", ""patterns_generated_avg"": ""21.00"", ""optimal"": ""True""}"
IN_08.json-global.out,ILP Solver (global):predictor (Python),143,0.314170820924143,0.314170820924143,696,"{""objective"": ""0.314170820924143""}"
IN_09.json-bap-task.out,BAP_ON_TASKS,3031,0.34498757010946673,0.34498757010946673,696,"{""objective"": ""0.34498757010946673"", ""number_of_nodes"": ""19"", ""time_masters_init"": ""0.11"", ""time_masters_solving"": ""0.04"", ""time_sub_init"": ""0.34"", ""time_sub_solving"": ""2.14"", ""time_global"": ""0.10"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.16"", ""master_relaxation"": ""0.336570"", ""patterns_generated_avg"": ""7.05"", ""optimal"": ""True""}"
IN_09.json-bap.out,BAP_ON_PAIRS,4460,0.34498757010946673,0.34498757010946673,696,"{""objective"": ""0.34498757010946673"", ""number_of_nodes"": ""38"", ""time_masters_init"": ""0.11"", ""time_masters_solving"": ""0.04"", ""time_sub_init"": ""0.37"", ""time_sub_solving"": ""3.13"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.56"", ""master_relaxation"": ""0.336570"", ""patterns_generated_avg"": ""4.05"", ""optimal"": ""True""}"
IN_09.json-global.out,ILP Solver (global):predictor (Python),149,0.34498757010946673,0.34498757010946673,696,"{""objective"": ""0.34498757010946673""}"
IN_10.json-bap-task.out,BAP_ON_TASKS,9346,0.3688946930070717,0.36889469300707184,822,"{""objective"": ""0.3688946930070717"", ""number_of_nodes"": ""53"", ""time_masters_init"": ""0.36"", ""time_masters_solving"": ""0.12"", ""time_sub_init"": ""0.98"", ""time_sub_solving"": ""6.56"", ""time_global"": ""0.43"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.46"", ""master_relaxation"": ""0.358913"", ""patterns_generated_avg"": ""6.17"", ""optimal"": ""True""}"
IN_10.json-bap.out,BAP_ON_PAIRS,16525,0.36889469300707184,0.36889469300707184,822,"{""objective"": ""0.36889469300707184"", ""number_of_nodes"": ""114"", ""time_masters_init"": ""0.35"", ""time_masters_solving"": ""0.13"", ""time_sub_init"": ""1.24"", ""time_sub_solving"": ""11.23"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""2.58"", ""master_relaxation"": ""0.358913"", ""patterns_generated_avg"": ""3.35"", ""optimal"": ""True""}"
IN_10.json-global.out,ILP Solver (global):predictor (Python),195,0.3688946930070716,0.36889469300707184,822,"{""objective"": ""0.3688946930070716""}"
IN_11.json-bap-task.out,BAP_ON_TASKS,9917,0.4172362049048146,0.41723620490481456,852,"{""objective"": ""0.4172362049048146"", ""number_of_nodes"": ""59"", ""time_masters_init"": ""0.34"", ""time_masters_solving"": ""0.11"", ""time_sub_init"": ""0.95"", ""time_sub_solving"": ""7.19"", ""time_global"": ""0.36"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.54"", ""master_relaxation"": ""0.410455"", ""patterns_generated_avg"": ""5.32"", ""optimal"": ""True""}"
IN_11.json-bap.out,BAP_ON_PAIRS,7769,0.41723620490481456,0.41723620490481456,852,"{""objective"": ""0.41723620490481456"", ""number_of_nodes"": ""50"", ""time_masters_init"": ""0.17"", ""time_masters_solving"": ""0.06"", ""time_sub_init"": ""0.62"", ""time_sub_solving"": ""5.28"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""1.20"", ""master_relaxation"": ""0.410455"", ""patterns_generated_avg"": ""3.78"", ""optimal"": ""True""}"
IN_11.json-global.out,ILP Solver (global):predictor (Python),192,0.4172362049048146,0.41723620490481456,852,"{""objective"": ""0.4172362049048146""}"
IN_12.json-bap-task.out,BAP_ON_TASKS,5300,0.44025615132103363,0.44025615132103363,835,"{""objective"": ""0.44025615132103363"", ""number_of_nodes"": ""25"", ""time_masters_init"": ""0.16"", ""time_masters_solving"": ""0.05"", ""time_sub_init"": ""0.42"", ""time_sub_solving"": ""3.98"", ""time_global"": ""0.23"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.27"", ""master_relaxation"": ""0.439266"", ""patterns_generated_avg"": ""5.84"", ""optimal"": ""True""}"
IN_12.json-bap.out,BAP_ON_PAIRS,2043,0.44025615132103363,0.44025615132103363,835,"{""objective"": ""0.44025615132103363"", ""number_of_nodes"": ""7"", ""time_masters_init"": ""0.06"", ""time_masters_solving"": ""0.02"", ""time_sub_init"": ""0.20"", ""time_sub_solving"": ""1.51"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.18"", ""master_relaxation"": ""0.439266"", ""patterns_generated_avg"": ""9.71"", ""optimal"": ""True""}"
IN_12.json-global.out,ILP Solver (global):predictor (Python),303,0.44025615132103363,0.44025615132103363,835,"{""objective"": ""0.44025615132103363""}"
IN_13.json-bap-task.out,BAP_ON_TASKS,12204,0.4759091509009401,0.4759091509009401,835,"{""objective"": ""0.4759091509009401"", ""number_of_nodes"": ""49"", ""time_masters_init"": ""0.34"", ""time_masters_solving"": ""0.12"", ""time_sub_init"": ""0.91"", ""time_sub_solving"": ""9.23"", ""time_global"": ""0.59"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.58"", ""master_relaxation"": ""0.471657"", ""patterns_generated_avg"": ""5.39"", ""optimal"": ""True""}"
IN_13.json-bap.out,BAP_ON_PAIRS,45359,0.4759091509009401,0.4759091509009401,835,"{""objective"": ""0.4759091509009401"", ""number_of_nodes"": ""227"", ""time_masters_init"": ""0.98"", ""time_masters_solving"": ""0.32"", ""time_sub_init"": ""3.43"", ""time_sub_solving"": ""29.99"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""7.61"", ""master_relaxation"": ""0.471657"", ""patterns_generated_avg"": ""4.26"", ""optimal"": ""True""}"
IN_13.json-global.out,ILP Solver (global):predictor (Python),534,0.4759091509009401,0.4759091509009401,835,"{""objective"": ""0.4759091509009401""}"
IN_14.json-bap-task.out,BAP_ON_TASKS,25683,0.502064093525211,0.502064093525211,977,"{""objective"": ""0.502064093525211"", ""number_of_nodes"": ""77"", ""time_masters_init"": ""0.77"", ""time_masters_solving"": ""0.27"", ""time_sub_init"": ""1.80"", ""time_sub_solving"": ""20.21"", ""time_global"": ""0.80"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.99"", ""master_relaxation"": ""0.495575"", ""patterns_generated_avg"": ""7.25"", ""optimal"": ""True""}"
IN_14.json-bap.out,BAP_ON_PAIRS,60173,0.5079161641250054,0.5079161641250054,1070,"{""objective"": ""0.5079161641250054"", ""number_of_nodes"": ""346"", ""time_masters_init"": ""1.09"", ""time_masters_solving"": ""0.36"", ""time_sub_init"": ""4.00"", ""time_sub_solving"": ""37.03"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""12.78"", ""master_relaxation"": ""0.495575"", ""patterns_generated_avg"": ""3.06"", ""optimal"": ""False""}"
IN_14.json-global.out,ILP Solver (global):predictor (Python),1495,0.5020640935252106,0.502064093525211,977,"{""objective"": ""0.5020640935252106""}"
IN_15.json-bap-task.out,BAP_ON_TASKS,21422,0.544487431285282,0.544487431285282,1023,"{""objective"": ""0.544487431285282"", ""number_of_nodes"": ""59"", ""time_masters_init"": ""0.62"", ""time_masters_solving"": ""0.21"", ""time_sub_init"": ""1.49"", ""time_sub_solving"": ""16.85"", ""time_global"": ""0.67"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.90"", ""master_relaxation"": ""0.540062"", ""patterns_generated_avg"": ""7.53"", ""optimal"": ""True""}"
IN_15.json-bap.out,BAP_ON_PAIRS,60162,0.5485498638326923,0.5485498638326923,1127,"{""objective"": ""0.5485498638326923"", ""number_of_nodes"": ""263"", ""time_masters_init"": ""1.22"", ""time_masters_solving"": ""0.40"", ""time_sub_init"": ""4.48"", ""time_sub_solving"": ""39.90"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""10.20"", ""master_relaxation"": ""0.540062"", ""patterns_generated_avg"": ""4.71"", ""optimal"": ""False""}"
IN_15.json-global.out,ILP Solver (global):predictor (Python),1241,0.5444874312852817,0.544487431285282,1023,"{""objective"": ""0.5444874312852817""}"
IN_16.json-bap-task.out,BAP_ON_TASKS,14394,0.5654799395427108,0.5654799395427108,1038,"{""objective"": ""0.5654799395427108"", ""number_of_nodes"": ""33"", ""time_masters_init"": ""0.41"", ""time_masters_solving"": ""0.14"", ""time_sub_init"": ""1.06"", ""time_sub_solving"": ""11.37"", ""time_global"": ""0.41"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.59"", ""master_relaxation"": ""0.564620"", ""patterns_generated_avg"": ""8.79"", ""optimal"": ""True""}"
IN_16.json-bap.out,BAP_ON_PAIRS,60197,0.5747851574917634,0.5747851574917634,1127,"{""objective"": ""0.5747851574917634"", ""number_of_nodes"": ""280"", ""time_masters_init"": ""1.09"", ""time_masters_solving"": ""0.35"", ""time_sub_init"": ""4.13"", ""time_sub_solving"": ""36.44"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""13.10"", ""master_relaxation"": ""0.564620"", ""patterns_generated_avg"": ""3.60"", ""optimal"": ""False""}"
IN_16.json-global.out,ILP Solver (global):predictor (Python),2346,0.5654799395427108,0.5654799395427108,1038,"{""objective"": ""0.5654799395427108""}"
IN_17.json-bap-task.out,BAP_ON_TASKS,49414,0.6076666970799365,0.6076666970799367,1140,"{""objective"": ""0.6076666970799365"", ""number_of_nodes"": ""129"", ""time_masters_init"": ""1.48"", ""time_masters_solving"": ""0.53"", ""time_sub_init"": ""3.46"", ""time_sub_solving"": ""35.99"", ""time_global"": ""3.89"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""2.45"", ""master_relaxation"": ""0.603761"", ""patterns_generated_avg"": ""7.06"", ""optimal"": ""True""}"
IN_17.json-bap.out,BAP_ON_PAIRS,60060,0.6100055692593257,0.6100055692593257,1140,"{""objective"": ""0.6100055692593257"", ""number_of_nodes"": ""200"", ""time_masters_init"": ""1.18"", ""time_masters_solving"": ""0.39"", ""time_sub_init"": ""4.44"", ""time_sub_solving"": ""39.98"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""10.18"", ""master_relaxation"": ""0.603761"", ""patterns_generated_avg"": ""5.34"", ""optimal"": ""False""}"
IN_17.json-global.out,ILP Solver (global):predictor (Python),5842,0.6076666970799358,0.6076666970799367,1140,"{""objective"": ""0.6076666970799358""}"
IN_18.json-bap-task.out,BAP_ON_TASKS,29524,0.6261015029375748,0.6261015029375752,1252,"{""objective"": ""0.6261015029375748"", ""number_of_nodes"": ""71"", ""time_masters_init"": ""0.91"", ""time_masters_solving"": ""0.34"", ""time_sub_init"": ""2.11"", ""time_sub_solving"": ""21.23"", ""time_global"": ""2.40"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""1.58"", ""master_relaxation"": ""0.619057"", ""patterns_generated_avg"": ""7.30"", ""optimal"": ""True""}"
IN_18.json-bap.out,BAP_ON_PAIRS,60351,0.6341339244817694,0.6341339244817694,1308,"{""objective"": ""0.6341339244817694"", ""number_of_nodes"": ""209"", ""time_masters_init"": ""0.92"", ""time_masters_solving"": ""0.29"", ""time_sub_init"": ""3.70"", ""time_sub_solving"": ""37.99"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""12.55"", ""master_relaxation"": ""0.619057"", ""patterns_generated_avg"": ""3.44"", ""optimal"": ""False""}"
IN_18.json-global.out,ILP Solver (global):predictor (Python),11616,0.6261015029375743,0.6261015029375752,1252,"{""objective"": ""0.6261015029375743""}"
IN_19.json-bap-task.out,BAP_ON_TASKS,18565,0.6738987075102825,0.6738987075102826,1252,"{""objective"": ""0.6738987075102825"", ""number_of_nodes"": ""39"", ""time_masters_init"": ""0.66"", ""time_masters_solving"": ""0.23"", ""time_sub_init"": ""1.68"", ""time_sub_solving"": ""12.82"", ""time_global"": ""1.17"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""1.29"", ""master_relaxation"": ""0.669361"", ""patterns_generated_avg"": ""8.72"", ""optimal"": ""True""}"
IN_19.json-bap.out,BAP_ON_PAIRS,60291,0.6799670437785487,0.6799670437785487,1303,"{""objective"": ""0.6799670437785487"", ""number_of_nodes"": ""154"", ""time_masters_init"": ""1.13"", ""time_masters_solving"": ""0.33"", ""time_sub_init"": ""3.80"", ""time_sub_solving"": ""40.74"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""9.64"", ""master_relaxation"": ""0.669361"", ""patterns_generated_avg"": ""5.29"", ""optimal"": ""False""}"
IN_19.json-global.out,ILP Solver (global):predictor (Python),20412,0.6738987075102825,0.6738987075102826,1252,"{""objective"": ""0.6738987075102825""}"
IN_20.json-bap-task.out,BAP_ON_TASKS,4043,0.6958935073142251,0.6958935073142251,1290,"{""objective"": ""0.6958935073142251"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.15"", ""time_masters_solving"": ""0.06"", ""time_sub_init"": ""0.49"", ""time_sub_solving"": ""3.19"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""0.695894"", ""patterns_generated_avg"": ""108.00"", ""optimal"": ""True""}"
IN_20.json-bap.out,BAP_ON_PAIRS,4084,0.6958935073142251,0.6958935073142251,1290,"{""objective"": ""0.6958935073142251"", ""number_of_nodes"": ""1"", ""time_masters_init"": ""0.15"", ""time_masters_solving"": ""0.06"", ""time_sub_init"": ""0.47"", ""time_sub_solving"": ""3.25"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""0.06"", ""master_relaxation"": ""0.695894"", ""patterns_generated_avg"": ""108.00"", ""optimal"": ""True""}"
IN_20.json-global.out,ILP Solver (global):predictor (Python),16796,0.6958935073142251,0.6958935073142251,1290,"{""objective"": ""0.6958935073142251""}"
IN_21.json-bap-task.out,BAP_ON_TASKS,25396,0.7373247834170858,0.7373247834170858,1301,"{""objective"": ""0.7373247834170858"", ""number_of_nodes"": ""43"", ""time_masters_init"": ""0.98"", ""time_masters_solving"": ""0.34"", ""time_sub_init"": ""2.17"", ""time_sub_solving"": ""17.15"", ""time_global"": ""2.61"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""1.33"", ""master_relaxation"": ""0.731436"", ""patterns_generated_avg"": ""11.12"", ""optimal"": ""True""}"
IN_21.json-bap.out,BAP_ON_PAIRS,60774,0.7854085313218335,0.7854085313218335,1465,"{""objective"": ""0.7854085313218335"", ""number_of_nodes"": ""201"", ""time_masters_init"": ""0.87"", ""time_masters_solving"": ""0.27"", ""time_sub_init"": ""3.20"", ""time_sub_solving"": ""36.68"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""13.75"", ""master_relaxation"": ""0.731436"", ""patterns_generated_avg"": ""2.73"", ""optimal"": ""False""}"
IN_21.json-global.out,ILP Solver (global):predictor (Python),48158,0.7373247834170856,0.7373247834170858,1301,"{""objective"": ""0.7373247834170856""}"
IN_22.json-bap-task.out,BAP_ON_TASKS,60379,-1,0.0,0,"{""objective"": ""-1"", ""number_of_nodes"": ""60"", ""time_masters_init"": ""1.73"", ""time_masters_solving"": ""0.54"", ""time_sub_init"": ""3.40"", ""time_sub_solving"": ""25.54"", ""time_global"": ""25.29"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""2.45"", ""master_relaxation"": ""0.773595"", ""patterns_generated_avg"": ""10.98"", ""optimal"": ""False""}"
IN_22.json-bap.out,BAP_ON_PAIRS,61468,0.8601166838904222,0.8601166838904222,1396,"{""objective"": ""0.8601166838904222"", ""number_of_nodes"": ""204"", ""time_masters_init"": ""0.81"", ""time_masters_solving"": ""0.25"", ""time_sub_init"": ""3.04"", ""time_sub_solving"": ""32.81"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""17.27"", ""master_relaxation"": ""0.773595"", ""patterns_generated_avg"": ""2.37"", ""optimal"": ""False""}"
IN_22.json-global.out,ILP Solver (global):predictor (Python),60007,0.7838123785828547,0.783812378582855,1480,"{""objective"": ""0.7838123785828547""}"
IN_23.json-bap-task.out,BAP_ON_TASKS,60948,-1,0.0,0,"{""objective"": ""-1"", ""number_of_nodes"": ""63"", ""time_masters_init"": ""1.34"", ""time_masters_solving"": ""0.48"", ""time_sub_init"": ""2.84"", ""time_sub_solving"": ""22.65"", ""time_global"": ""29.04"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""3.23"", ""master_relaxation"": ""0.793033"", ""patterns_generated_avg"": ""9.11"", ""optimal"": ""False""}"
IN_23.json-bap.out,BAP_ON_PAIRS,61142,0.8880086832245191,0.8880086832245191,1396,"{""objective"": ""0.8880086832245191"", ""number_of_nodes"": ""186"", ""time_masters_init"": ""0.86"", ""time_masters_solving"": ""0.25"", ""time_sub_init"": ""3.31"", ""time_sub_solving"": ""32.35"", ""time_global"": ""0.00"", ""time_get_pair"": ""0.00"", ""time_recovery"": ""17.29"", ""master_relaxation"": ""0.793033"", ""patterns_generated_avg"": ""2.49"", ""optimal"": ""False""}"
IN_23.json-global.out,ILP Solver (global):predictor (Python),58698,0.7984365450715023,0.7984365450715025,1480,"{""objective"": ""0.7984365450715023""}"
