benchmark,affinity,intercept,slope,exec_time,command,runtime
a2time-4K,A53,0.24443445605786618,0.24189952076500157,0.003087137539152654,./a2time-4K -v0 -c1 -i100,1.7264822079732678
a2time-4K,A72,0.19083654675709116,0.9844350429996958,0.001788108516204561,./a2time-4K -v0 -c1 -i100,1.0
a2time-4M,A53,0.9519121379116777,0.31527222586533643,3.1651283723404253,./a2time-4M -v0 -c1 -i100,1.725387543528871
a2time-4M,A72,1.096376591296715,1.079751949123648,1.8344448957055213,./a2time-4M -v0 -c1 -i100,1.0
aifirf-4K,A53,0.2340051570004027,0.23833052097084165,0.031724340783898304,./aifirf-4K -v0 -c1 -i100,2.791913536147373
aifirf-4K,A72,0.17460770603166598,1.386087803783588,0.011362938132989416,./aifirf-4K -v0 -c1 -i100,1.0
aifirf-4M,A53,0.6573638540169515,0.3209989693391038,3.231910923913043,./aifirf-4M -v0 -c1 -i10,2.8257007583408487
aifirf-4M,A72,0.703821472286454,1.6126508678631257,1.1437555496183207,./aifirf-4M -v0 -c1 -i10,1.0
bitmnp-4K,A53,0.2453778574288883,0.1966626197979089,0.008579486090020917,./bitmnp-4K -v0 -c1 -i100,2.105081812361517
bitmnp-4K,A72,0.21472233849451428,0.7207295540108083,0.004075606961990851,./bitmnp-4K -v0 -c1 -i100,1.0
bitmnp-4M,A53,0.8281220943565062,0.26629432917535806,10.244691586206896,./bitmnp-4M -v0 -c1 -i100,2.2068897846312963
bitmnp-4M,A72,0.9278641011362181,0.7927847647671751,4.642140109375,./bitmnp-4M -v0 -c1 -i100,1.0
canrdr-4K,A53,0.23155484731552267,0.32998324083266856,0.0030230901671593007,./canrdr-4K -v0 -c1 -i100,1.9124971509731277
canrdr-4K,A72,0.14474939414992782,1.1068858215957862,0.0015807030957515804,./canrdr-4K -v0 -c1 -i100,1.0
canrdr-4M,A53,0.9300927164287804,0.37550115378105825,2.8408764,./canrdr-4M -v0 -c1 -i100,1.932287984862762
canrdr-4M,A72,1.0470248708009935,1.264783732754613,1.4702137684729064,./canrdr-4M -v0 -c1 -i100,1.0
idctrn-4K,A53,0.22618191608938076,0.2585078455955605,0.014463369305019305,./idctrn-4K -v0 -c1 -i100,2.93168639001771
idctrn-4K,A72,0.10409362301635117,1.5013160507991206,0.00493346401384083,./idctrn-4K -v0 -c1 -i100,1.0
idctrn-4M,A53,0.7711385046843713,0.31425540753793957,14.678190500000001,./idctrn-4M -v0 -c1 -i100,3.0044818615534163
idctrn-4M,A72,0.7102082756766999,1.6541146586528876,4.885431557377049,./idctrn-4M -v0 -c1 -i100,1.0
iirflt-4K,A53,0.2214991240550246,0.22950528559095554,0.012227333727569331,./iirflt-4K -v0 -c1 -i100,2.903751219474784
iirflt-4K,A72,0.20735266606993985,1.2803810129186655,0.004210875107193567,./iirflt-4K -v0 -c1 -i100,1.0
iirflt-4M,A53,0.7997804581462562,0.2899535633660057,12.245887,./iirflt-4M -v0 -c1 -i100,2.303011657411523
iirflt-4M,A72,0.8532361965874804,1.437909073879684,5.317336089285714,./iirflt-4M -v0 -c1 -i100,1.0
