inst,littleSlope,littleIntercept,bigSlope,bigIntercept,powerOffset
33_0_0_0_32_0,0.7996722972972975,0.1960540540540538,1.7044628378378377,0.5414932432432438,2.4696685714285715
33_0_0_0_3_5,0.7996722972972975,0.1960540540540538,3.304304054054054,0.3188310810810816,1.985792045454545
33_11_10_0_28_0,2.485417792792793,0.6134943693693694,1.5450709459459464,0.2325236486486486,5.879638636363636
33_12_31_15_2_37,2.788560955871125,0.8289690143533378,3.517797297297297,0.493756756756758,6.088598863636364
33_13_28_27_20_6,3.2494684684684683,0.7114301801801812,3.327050675675676,-0.14255743243243296,6.419701136363636
33_19_0_0_0_0,1.2052150900900904,0.3157815315315315,0.0,0.0,1.8987238636363646
33_1_0_0_0_0,1.379676801801802,0.2847387387387385,0.0,0.0,2.213536363636364
33_23_7_0_16_19,1.9149099099099103,0.6026846846846838,0.8600371621621621,0.9453817567567571,4.315994285714286
33_24_0_0_14_5,1.282507882882883,0.6774819819819812,3.3225304054054057,0.32132770270270317,4.597479545454545
33_25_7_30_29_0,2.8505585585585584,1.0089042792792795,1.803689189189189,0.1650304054054063,5.280951136363636
33_26_0_0_8_30,1.4486610360360364,1.200328828828829,4.222047297297297,0.6636351351351362,6.141161363636365
33_30_0_0_12_0,1.6130664414414415,0.5832578828828829,1.5940912162162162,0.3351081081081086,4.121928409090909
33_30_0_0_15_0,1.6130664414414415,0.5832578828828829,0.5994222972972976,0.1683445945945947,3.5243142857142864
33_31_0_0_0_0,1.6398918918918919,0.4055709459459464,0.0,0.0,2.444184090909091
33_32_0_0_22_0,2.028109234234234,0.9023468468468478,2.855277027027027,-0.9534290540540532,3.820132954545455
33_32_0_0_28_37,2.028109234234234,0.9023468468468478,3.009996621621622,0.4341925675675684,4.557127272727273
33_33_1_4_32_12,3.0717842036952208,0.7884252557642383,3.298554054054054,0.8766013513513524,7.457137142857143
33_34_4_0_9_0,2.5912200145060313,0.7309387692777526,2.109983108108107,0.1584898648648667,5.7644625
33_36_15_0_0_0,1.7244832531684227,0.4899859062452288,0.0,0.0,2.6978375000000003
33_36_21_0_2_0,1.9156002252252256,0.5291193693693693,2.0528716216216214,0.2920878378378382,3.9561897727272735
33_37_1_0_22_18,2.051016891891892,0.4724020270270265,4.2131013513513516,-0.7650168918918914,5.399045714285715
33_3_0_0_30_0,1.6405529279279283,0.3368963963963964,1.9898378378378376,0.3204189189189192,3.875479545454545
33_4_36_0_6_31,2.272323618109635,0.7553419224309055,2.689297354557948,0.5178174530462663,5.460655681818182
33_6_23_16_19_0,1.9952027027027026,0.7898412162162162,0.2752229729729727,0.7689932432432438,3.7965363636363643
33_8_28_26_26_17,3.2191497747747744,1.7735664414414432,3.361627038479157,1.636458760879524,8.251831818181817
33_9_16_0_32_6,1.994671171171171,0.3839166666666672,3.158158783783784,0.8689290540540542,6.232968181818182
33_9_7_0_30_0,2.4037432432432433,0.48967229729729733,1.9898378378378376,0.3204189189189192,6.37936590909091
