instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,imx8b_power
inst_0838,RandomGenerator,0,3,1000,2.34842,2.09616,1.33434225,5.769668300949374
inst_0275,RandomGenerator,0,3,1000,4.66581,4.01529,2.7277157,6.869567717510312
inst_0499,RandomGenerator,0,3,1000,3.6264,3.35255,1.4987719899999998,5.939634859026828
inst_0930,RandomGenerator,0,3,1000,4.35409,2.9448600000000003,2.41180385,6.950471981124363
inst_0667,RandomGenerator,0,3,1000,5.02197,3.75756,2.2495122000000003,6.414423514476005
inst_0991,RandomGenerator,0,2,1000,2.06816,1.90978,0.68765117,5.667822880525555
inst_0808,RandomGenerator,0,2,1000,0.69531,0.8524000000000002,0.5598004500000002,5.725489019627634
inst_0689,RandomGenerator,0,5,1000,6.2555,5.995939999999999,3.6729628400000007,6.886452838678219
inst_0227,RandomGenerator,0,2,1000,1.24138,1.19214,0.50918086,5.8516778676884975
inst_0814,RandomGenerator,0,1,1000,1.09224,0.6251599999999999,0.28507296,5.68214630804074
inst_0173,RandomGenerator,0,3,1000,2.3366,2.23632,1.45469183,6.224907128247717
inst_0856,RandomGenerator,0,3,1000,3.98529,3.08068,2.2110856200000004,6.4599877252586255
inst_0985,RandomGenerator,0,4,1000,2.74459,3.76449,0.61374106,5.877867462026522
inst_0913,RandomGenerator,0,3,1000,2.22606,2.94425,1.13941989,6.516133467490358
inst_0855,RandomGenerator,0,3,1000,2.62351,2.45488,1.4049783800000002,6.0182546349069534
inst_0678,RandomGenerator,0,5,1000,3.53696,3.96202,2.07268913,6.271445553759103
inst_0964,RandomGenerator,0,2,1000,3.28504,2.72248,1.2263847999999995,5.912233949478094
inst_0175,RandomGenerator,0,3,1000,1.44808,1.5681200000000002,0.46866426,5.585258986555791
inst_0757,RandomGenerator,0,3,1000,3.10546,3.0424300000000004,1.1560360500000002,6.067810678108761
inst_0464,RandomGenerator,0,4,1000,1.53411,2.6855200000000004,1.05330627,6.2043827554796085
inst_0905,RandomGenerator,0,3,1000,2.52136,2.47545,1.2109228600000002,5.581894154239867
inst_0719,RandomGenerator,0,4,1000,3.02896,3.74333,1.0158457900000002,6.002132369394703
inst_0282,RandomGenerator,0,1,1000,1.14104,0.70367,0.06825599,5.451686331472742
inst_0908,RandomGenerator,0,3,1000,3.476,3.14434,1.44716258,6.0052702371653295
inst_0824,RandomGenerator,0,4,1000,4.119809999999999,3.40874,2.95251741,6.798928471874134
inst_0671,RandomGenerator,0,3,1000,3.53735,3.1833100000000005,1.5238172100000005,6.097419197578681
inst_0069,RandomGenerator,0,4,1000,3.22593,3.2981000000000003,2.33702321,6.301422260662416
inst_0353,RandomGenerator,0,4,1000,4.41193,3.62142,2.53828648,6.821934691937285
inst_0959,RandomGenerator,0,3,1000,1.4026599999999998,1.8833800000000005,0.94455131,5.879794315942493
inst_0659,RandomGenerator,0,4,1000,4.0122,3.95179,2.00971632,6.129652358896986
inst_0241,RandomGenerator,0,2,1000,3.40548,2.70915,1.31739912,6.102771146084816
inst_0276,RandomGenerator,0,2,1000,1.2825,1.2221700000000002,0.37909296,5.8577656893653245
inst_0893,RandomGenerator,0,3,1000,0.78944,1.40686,0.6945688,5.6672991303018705
inst_0098,RandomGenerator,0,4,1000,3.36048,3.38607,2.02835759,6.333863728115161
inst_0422,RandomGenerator,0,2,1000,1.6171,1.41261,0.91048662,6.342253690151797
inst_0864,RandomGenerator,0,4,1000,3.54369,4.27602,2.35218127,6.600297473974752
inst_0350,RandomGenerator,0,5,1000,4.89686,5.4842,3.10230073,6.48293861551364
inst_0578,RandomGenerator,0,2,1000,2.29677,2.09258,1.11811253,6.020198585672118
inst_0545,RandomGenerator,0,2,1000,0.67074,0.82896,0.52277346,5.578543390754307
inst_0708,RandomGenerator,0,5,1000,3.77767,3.92847,1.8411948,6.034075425942476
inst_0700,RandomGenerator,0,2,1000,2.30304,1.80707,0.68686041,5.8392390362646305
inst_0101,RandomGenerator,0,4,1000,2.90509,3.32407,1.96438781,6.351134961613045
inst_0669,RandomGenerator,0,2,1000,2.62027,2.61533,1.03974743,6.327182758765806
inst_0396,RandomGenerator,0,4,1000,4.08148,4.47109,2.82577513,6.332620042796151
inst_0732,RandomGenerator,0,6,1000,5.10149,5.8568,3.82335135,6.909560458648309
inst_0679,RandomGenerator,0,1,1000,0.9675,0.56416,0.1071903999999999,5.335725044851576
inst_0524,RandomGenerator,0,4,1000,2.48428,2.58376,1.7039834799999998,6.317277549745358
inst_0080,RandomGenerator,0,3,1000,1.78566,2.74477,0.2983359,5.500129380977933
inst_0319,RandomGenerator,0,3,1000,2.58307,2.6704600000000003,1.52375623,6.111024996117375
inst_0664,RandomGenerator,0,4,1000,2.23874,3.01701,0.96638171,5.99625023436012
inst_0151,RandomGenerator,0,3,1000,5.14296,4.89939,2.2076241100000003,6.557090138103931
inst_0616,RandomGenerator,0,2,1000,2.65598,1.82374,1.24332887,5.722475501624708
inst_0509,RandomGenerator,0,3,1000,2.1668000000000003,2.82573,0.57322172,5.672367909549309
inst_0323,RandomGenerator,0,3,1000,3.19496,2.2803500000000003,1.86146108,6.137793789332234
inst_0833,RandomGenerator,0,3,1000,2.9762,2.7043700000000004,1.6073185400000003,5.879749778743883
inst_0873,RandomGenerator,0,4,1000,1.93842,2.1303,0.99997234,5.799018039274821
inst_0784,RandomGenerator,0,2,1000,2.62217,2.35844,1.12854395,5.965304364887476
inst_0149,RandomGenerator,0,3,1000,2.7833900000000003,2.18407,1.7169100100000003,6.177356193545222
inst_0640,RandomGenerator,0,2,1000,3.66932,2.5407,1.6764144799999998,6.077457869913933
inst_0649,RandomGenerator,0,3,1000,2.78018,3.06333,0.8764987500000001,6.183422447183798
inst_0691,RandomGenerator,0,3,1000,4.90132,4.244439999999999,2.7603180699999994,6.061931748585877
inst_0410,RandomGenerator,0,3,1000,1.92753,2.77838,0.57833988,5.869272009773413
inst_0263,RandomGenerator,0,2,1000,3.737,2.5734000000000004,1.60285788,5.933222345544435
inst_0213,RandomGenerator,0,4,1000,2.96836,3.99586,1.8222099600000004,6.44008474946403
inst_0448,RandomGenerator,0,2,1000,1.5672,1.24166,1.0144287,6.390018361845675
inst_0329,RandomGenerator,0,2,1000,2.51529,2.35194,0.29835938,5.5121269542927624
inst_0687,RandomGenerator,0,3,1000,3.95674,3.735370000000001,2.40432301,6.592857133924585
inst_0611,RandomGenerator,0,4,1000,3.50408,3.3062,2.20185206,6.856196487719866
inst_0907,RandomGenerator,0,3,1000,1.87945,1.87858,1.64294201,6.600016500047071
inst_0246,RandomGenerator,0,3,1000,2.46234,2.6576500000000003,0.98181572,5.7166106067576905
inst_0530,RandomGenerator,0,5,1000,2.12427,2.67709,1.50023334,5.888500130637323
inst_0701,RandomGenerator,0,2,1000,1.36292,1.2069200000000002,0.5036744900000001,5.857294462193462
inst_0886,RandomGenerator,0,2,1000,3.34646,2.61311,1.10215956,5.973058046717817
inst_0801,RandomGenerator,0,5,1000,2.81698,3.51773,1.43909327,5.959988399545062
inst_0652,RandomGenerator,0,4,1000,3.30145,3.63968,2.36935666,6.6704584518367485
inst_0512,RandomGenerator,0,4,1000,3.28144,3.2387300000000003,1.36866286,5.9424146927176675
inst_0437,RandomGenerator,0,3,1000,3.29895,2.7072200000000004,2.04529029,6.379598484528775
inst_0899,RandomGenerator,0,2,1000,0.4306,0.6983,0.2548795,5.540180747746125
inst_0197,RandomGenerator,0,1,1000,1.44048,1.39051,0.01112408,5.505012625314352
inst_0983,RandomGenerator,0,4,1000,1.96547,2.3399,1.55797533,6.5869348894645565
inst_0010,RandomGenerator,0,3,1000,2.74104,2.67225,1.85703535,6.289220122708603
inst_0211,RandomGenerator,0,2,1000,6.553649999999999,5.0956,3.900493940000001,7.053712154449272
inst_0409,RandomGenerator,0,3,1000,2.8664,2.51064,1.51045218,5.915846844265391
inst_0858,RandomGenerator,0,5,1000,3.55641,3.81452,2.52900568,6.718434756946619
inst_0335,RandomGenerator,0,3,1000,3.11523,2.94465,1.07054552,5.855295064677859
inst_0709,RandomGenerator,0,2,1000,3.19698,2.42923,1.87725168,6.349095245174745
inst_0051,RandomGenerator,0,3,1000,2.44015,2.92782,1.02530902,5.679422171505228
inst_0764,RandomGenerator,0,3,1000,0.97744,1.46626,0.93180032,5.841155956655233
inst_0462,RandomGenerator,0,6,1000,4.332389999999999,6.1688600000000005,2.9923557500000006,6.3630022600513705
inst_0953,RandomGenerator,0,2,1000,2.4654700000000003,1.94648,1.04658252,5.655740983311502
inst_0216,RandomGenerator,0,4,1000,3.42439,4.53401,2.03486152,6.567038439293258
inst_0759,RandomGenerator,0,3,1000,2.64628,2.4184900000000003,1.3043608599999998,5.914895797787371
inst_0403,RandomGenerator,0,1,1000,0.67216,0.7900799999999999,0.5435750399999999,5.6625612961826235
inst_0113,RandomGenerator,0,2,1000,1.6793600000000002,1.26326,0.90514094,5.599641974937547
inst_0202,RandomGenerator,0,4,1000,2.67587,3.11337,1.67203089,6.404381748051
inst_0070,RandomGenerator,0,3,1000,2.4736700000000003,2.4079300000000003,1.29005795,5.7987190896687295
inst_0293,RandomGenerator,0,3,1000,1.35092,1.72307,0.79955711,6.145898047119656
inst_0042,RandomGenerator,0,2,1000,1.65815,1.67591,0.55986455,5.627670996931949
inst_0224,RandomGenerator,0,2,1000,1.95942,2.00793,0.54814882,6.118696231557628
inst_0245,RandomGenerator,0,2,1000,1.64935,1.4307800000000002,0.68425376,6.032201574214521
inst_0067,RandomGenerator,0,4,1000,3.9568,4.424040000000001,1.9650587,6.404522192200036
inst_0215,RandomGenerator,0,4,1000,3.2631300000000003,4.39108,1.99720401,7.072897579406055
inst_0731,RandomGenerator,0,3,1000,1.21747,1.38286,0.35668928,5.589240739706944
inst_0366,RandomGenerator,0,2,1000,0.92094,1.17774,0.10079022,5.454197738574661
inst_0766,RandomGenerator,0,4,1000,2.4902,3.24365,1.2818201599999997,5.702663443101721
inst_0376,RandomGenerator,0,3,1000,1.5334299999999998,1.8309100000000005,0.6100241200000001,5.625254704686628
inst_0629,RandomGenerator,0,5,1000,3.67254,3.78672,2.6617350900000005,6.541778025572723
inst_0741,RandomGenerator,0,2,1000,2.69334,2.32457,1.15134507,5.831553185077559
inst_0332,RandomGenerator,0,4,1000,2.7531099999999995,2.91224,1.31126386,6.176157693604565
inst_0166,RandomGenerator,0,4,1000,2.90962,3.4507000000000003,2.25035818,6.742171319155759
inst_0264,RandomGenerator,0,3,1000,2.0951,2.91017,0.92789324,6.07325759157327
inst_0331,RandomGenerator,0,4,1000,2.57958,3.19405,1.55473436,6.316477642756574
inst_0392,RandomGenerator,0,3,1000,1.08739,1.59165,0.56531457,5.619915916901762
inst_0283,RandomGenerator,0,3,1000,3.00587,2.39153,1.89956395,6.352043558580622
inst_0049,RandomGenerator,0,3,1000,1.82944,3.2506600000000003,0.4661733099999999,5.564417131889296
inst_0575,RandomGenerator,0,3,1000,1.55958,1.7862300000000002,0.9820405600000002,5.945997977332231
inst_0138,RandomGenerator,0,4,1000,3.3467,4.323,1.40476506,6.251234396597167
inst_0035,RandomGenerator,0,1,1000,1.30528,0.77286,0.26895528,5.64964406917056
inst_0990,RandomGenerator,0,3,1000,2.21196,2.30925,0.83249288,5.725849190563645
inst_0594,RandomGenerator,0,3,1000,4.837260000000001,4.08431,2.1043137600000006,6.569047938812844
inst_0380,RandomGenerator,0,4,1000,2.70859,3.06473,1.31797739,6.127196387036619
inst_0831,RandomGenerator,0,5,1000,3.8554,5.152990000000001,1.7597709000000004,6.056715690257693
inst_0017,RandomGenerator,0,3,1000,1.93936,3.05307,0.50965777,5.606617991727859
inst_0961,RandomGenerator,0,3,1000,2.37498,2.4357,1.33396776,5.949614704362388
inst_0248,RandomGenerator,0,2,1000,3.03501,2.11463,1.41435938,6.46559698394591
inst_0866,RandomGenerator,0,3,1000,3.04766,2.86028,1.6801049899999998,6.184657230141896
inst_0438,RandomGenerator,0,2,1000,2.57579,2.12371,0.48509518,5.588263234727389
inst_0535,RandomGenerator,0,2,1000,2.32344,2.4988200000000003,0.7997029800000001,6.026882641979517
inst_0887,RandomGenerator,0,2,1000,1.68771,1.7396600000000002,0.36975187,5.503613445696217
inst_0532,RandomGenerator,0,2,1000,2.43318,1.88201,1.08160923,6.060045450338549
inst_0624,RandomGenerator,0,2,1000,0.44564,0.8203,0.21721408,5.293131616425581
inst_0443,RandomGenerator,0,1,1000,0.44216,0.4351900000000001,0.20540968,5.485436165105278
inst_0550,RandomGenerator,0,3,1000,2.31617,2.12779,1.36697509,5.8200945765438545
inst_0078,RandomGenerator,0,2,1000,2.51877,1.93117,1.6447738700000003,6.88720315880955
inst_0394,RandomGenerator,0,5,1000,4.35429,5.077579999999999,2.84962911,6.924248995967608
inst_0634,RandomGenerator,0,1,1000,3.97452,2.86374,0.83621208,6.0010900163540875
inst_0896,RandomGenerator,0,2,1000,4.16304,3.62643,1.1641395600000002,5.9048809449371
inst_0300,RandomGenerator,0,3,1000,1.99937,2.1619900000000003,1.14759079,5.807326662125444
inst_0793,RandomGenerator,0,3,1000,2.17526,2.61821,0.6377760600000001,5.807052411851488
inst_0775,RandomGenerator,0,2,1000,1.17606,1.0935800000000002,0.4270462000000001,5.503495463338313
inst_0355,RandomGenerator,0,5,1000,3.35279,4.55323,1.9652473400000003,6.1194257483174646
inst_0081,RandomGenerator,0,3,1000,2.48936,2.31443,1.03543696,6.370650338526437
inst_0442,RandomGenerator,0,6,1000,3.69012,6.12818,1.9686031,6.2280571286537505
inst_0577,RandomGenerator,0,5,1000,3.5913600000000003,4.0296,2.36183134,6.263093946415482
inst_0620,RandomGenerator,0,1,1000,1.14154,0.6251599999999999,0.3913501599999999,5.7818324553635065
inst_0556,RandomGenerator,0,2,1000,1.3529099999999998,1.0783300000000002,0.6932719600000001,5.8338666773242345
inst_0193,RandomGenerator,0,3,1000,2.87769,2.3367400000000003,1.6039009700000002,6.206492241884931
inst_0072,RandomGenerator,0,4,1000,1.51393,2.97872,0.79743561,5.993059496812471
inst_0176,RandomGenerator,0,1,1000,0.9199,0.7626900000000001,0.32185518,5.561645582119155
inst_0147,RandomGenerator,0,3,1000,2.32294,2.65062,1.42771262,6.4311125444663855
inst_0236,RandomGenerator,0,2,1000,1.27768,1.24166,0.3717533799999999,5.678970722268528
inst_0483,RandomGenerator,0,4,1000,3.19322,3.04891,2.50549269,6.6925492235252735
inst_0341,RandomGenerator,0,3,1000,3.39706,2.5678,1.90483501,6.072957484165629
inst_0253,RandomGenerator,0,5,1000,2.5157,3.72565,1.3588652200000002,5.834149951000146
inst_0862,RandomGenerator,0,4,1000,3.31854,3.23824,2.04918561,6.256085777739603
inst_0597,RandomGenerator,0,5,1000,3.17731,4.5915300000000006,2.0192058000000004,6.332129629974976
inst_0444,RandomGenerator,0,2,1000,1.34534,1.3647900000000002,0.42677134,5.964044730328143
inst_0439,RandomGenerator,0,3,1000,1.65895,2.2359800000000005,0.8308210900000002,5.883367645795332
inst_0614,RandomGenerator,0,5,1000,2.61471,3.5836,1.5424458,6.099420745646278
inst_0307,RandomGenerator,0,3,1000,3.84294,4.12968,0.80276712,5.770384592306873
inst_0789,RandomGenerator,0,3,1000,2.95778,3.4197800000000003,0.91040633,6.164009424833528
inst_0702,RandomGenerator,0,2,1000,2.5019800000000005,1.90946,1.14510442,5.6766932330809405
inst_0364,RandomGenerator,0,1,1000,2.96239,1.871,0.903693,5.9289767755902725
inst_0016,RandomGenerator,0,3,1000,1.42756,1.64051,0.4957898699999999,5.88493401388364
inst_0203,RandomGenerator,0,2,1000,2.79077,2.29269,1.72039681,6.534536891674628
inst_0476,RandomGenerator,0,3,1000,1.81057,1.84667,1.27758007,6.129150811795961
inst_0156,RandomGenerator,0,5,1000,3.38361,3.94007,1.43360982,6.044484888791387
inst_0074,RandomGenerator,0,2,1000,2.64766,2.31919,1.06603368,5.815890743800347
inst_0425,RandomGenerator,0,5,1000,4.29136,5.120500000000001,2.4794637400000004,7.455743943035294
inst_0235,RandomGenerator,0,3,1000,2.47325,2.8084299999999995,1.4191434199999995,5.753173638922871
inst_0523,RandomGenerator,0,3,1000,1.28748,1.7688200000000005,0.7068214800000001,6.033784493226316
inst_0749,RandomGenerator,0,4,1000,2.90486,3.07687,1.70338784,6.546206827578826
inst_0240,RandomGenerator,0,2,1000,2.37697,2.30662,0.18805012,5.488843052697545
inst_0201,RandomGenerator,0,3,1000,1.43784,1.66207,0.95915076,6.138234654416972
inst_0663,RandomGenerator,0,4,1000,5.1877,5.29584,3.48276208,6.839392098476172
inst_0829,RandomGenerator,0,3,1000,2.19774,2.29401,1.4541372,6.431641852977591
inst_0457,RandomGenerator,0,2,1000,1.2613599999999998,1.3108499999999998,0.17582661,5.5844105518032485
inst_0911,RandomGenerator,0,2,1000,3.49002,2.64975,1.39346826,6.251132904549077
inst_0638,RandomGenerator,0,3,1000,0.60276,1.2973800000000002,0.42337914,5.7870052076224106
inst_0937,RandomGenerator,0,5,1000,2.95887,3.78142,1.85177649,6.386625428495066
inst_0238,RandomGenerator,0,2,1000,3.10308,2.00401,1.8082476300000003,6.199659018765609
inst_0381,RandomGenerator,0,2,1000,1.99423,2.09258,0.84435231,6.0364061802838815
inst_0889,RandomGenerator,0,5,1000,5.68679,6.118030000000001,3.2962365,6.827245561998148
inst_0727,RandomGenerator,0,4,1000,1.99077,2.48811,1.3878962299999995,6.150593546004988
inst_0405,RandomGenerator,0,3,1000,3.10856,3.48325,0.95745989,5.683995784912874
inst_0809,RandomGenerator,0,3,1000,2.7059,2.41257,1.1514707000000002,5.772906668128028
inst_0751,RandomGenerator,0,3,1000,2.0605,2.45785,0.8382306100000001,6.231047111902254
inst_0362,RandomGenerator,0,3,1000,1.95529,1.97899,0.95836529,5.639464250895583
inst_0447,RandomGenerator,0,3,1000,3.92362,3.43257,2.14876772,6.428127522476138
inst_0955,RandomGenerator,0,3,1000,3.4842600000000004,3.47549,1.58447905,5.972192016073712
inst_0805,RandomGenerator,0,3,1000,2.02338,1.9497,1.53317328,5.9804659278708705
inst_0460,RandomGenerator,0,3,1000,3.69022,3.4303200000000005,1.5657759,6.095219523900867
inst_0926,RandomGenerator,0,5,1000,2.98749,3.54794,1.9479447,6.363417069843761
inst_0842,RandomGenerator,0,3,1000,2.33595,2.16655,1.49024793,6.2300541140457675
inst_0606,RandomGenerator,0,3,1000,4.28245,3.13809,2.65563795,6.540686955241539
inst_0674,RandomGenerator,0,2,1000,1.12103,1.00481,0.3124505099999999,5.602608876075242
inst_0542,RandomGenerator,0,3,1000,2.67817,3.01796,1.2871489900000002,6.118038237741198
inst_0891,RandomGenerator,0,3,1000,2.6013200000000003,2.979410000000001,0.2710295,5.468054680540287
inst_0927,RandomGenerator,0,4,1000,4.36473,5.24439,2.47529438,6.58662199832389
inst_0427,RandomGenerator,0,2,1000,1.68848,1.6546500000000002,0.49106384,5.565888217269371
inst_0544,RandomGenerator,0,3,1000,1.26996,1.49921,0.75766018,5.871558027409644
inst_0906,RandomGenerator,0,1,1000,0.37888,0.3851099999999999,0.1105265699999999,5.472340797867569
inst_0411,RandomGenerator,0,1,1000,2.07934,1.67944,0.37955344,5.5979449743189305
inst_0032,RandomGenerator,0,5,1000,3.83814,4.522270000000001,2.1758177100000005,6.559991800007922
inst_0828,RandomGenerator,0,3,1000,2.75942,2.9437299999999995,1.6403309299999995,6.006806997993559
inst_0274,RandomGenerator,0,6,1000,4.29867,4.4878800000000005,2.79606568,7.092759742656278
inst_0593,RandomGenerator,0,2,1000,3.50954,2.36507,2.1599232100000005,6.183118311841079
inst_0195,RandomGenerator,0,2,1000,1.92836,1.88663,0.39368456,5.618617976730324
inst_0030,RandomGenerator,0,3,1000,2.12386,2.74759,0.55029446,5.874857142850357
inst_0141,RandomGenerator,0,4,1000,2.32687,2.9267900000000004,1.16890273,5.885367451116958
inst_0817,RandomGenerator,0,3,1000,4.29712,3.32565,2.6378218600000003,6.794245215808015
inst_0825,RandomGenerator,0,3,1000,2.28797,2.83938,1.0948895,5.951391449443568
inst_0125,RandomGenerator,0,4,1000,3.64479,4.11061,2.24680002,6.208766346585558
inst_0043,RandomGenerator,0,2,1000,1.37344,0.97318,0.94298743,6.263929809390023
inst_0385,RandomGenerator,0,6,1000,4.08624,4.60194,3.01148418,6.763236113930317
inst_0266,RandomGenerator,0,2,1000,1.48637,1.35424,0.8607849599999999,6.0082513814317196
inst_0646,RandomGenerator,0,2,1000,1.35507,1.12841,0.7440540900000001,6.119740076965618
inst_0124,RandomGenerator,0,2,1000,2.5894,2.20257,0.8644224399999999,5.60935734497456
inst_0294,RandomGenerator,0,3,1000,3.60434,2.97205,1.79937706,6.023516588739753
inst_0130,RandomGenerator,0,4,1000,4.01157,3.82438,2.4533120900000003,7.1235010162014225
inst_0161,RandomGenerator,0,4,1000,3.52222,4.99655,1.61642952,6.304422283159556
inst_0139,RandomGenerator,0,3,1000,2.73628,2.42476,1.40066159,6.264960843994142
inst_0588,RandomGenerator,0,1,1000,2.39144,1.56137,0.8493852800000001,5.726458116644443
inst_0721,RandomGenerator,0,3,1000,4.71833,4.460179999999999,3.20974762,6.689989888267992
inst_0677,RandomGenerator,0,4,1000,3.4828,3.87498,2.2582546000000003,6.29488714624768
inst_0981,RandomGenerator,0,2,1000,2.78113,2.12814,1.51023161,6.271000000007917
inst_0055,RandomGenerator,0,4,1000,3.1772600000000004,3.10075,1.56089219,6.707054900328932
inst_0586,RandomGenerator,0,3,1000,3.32946,3.04694,2.04562884,6.142166752921929
inst_0491,RandomGenerator,0,4,1000,3.91182,3.75348,2.327211,6.723622864138638
inst_0997,RandomGenerator,0,5,1000,2.7359,4.05897,1.66414171,6.155888341559934
inst_0318,RandomGenerator,0,3,1000,3.1815299999999995,2.85195,1.60736071,6.513429119289839
inst_0015,RandomGenerator,0,3,1000,2.06544,2.84065,0.6510465900000001,6.047537797111814
inst_0684,RandomGenerator,0,4,1000,3.0580100000000003,3.1537,1.74332399,5.9411571338824585
inst_0357,RandomGenerator,0,5,1000,3.85179,4.36978,1.95194593,6.33238456317872
inst_0036,RandomGenerator,0,3,1000,3.10121,2.47891,2.05703091,6.361678431128592
inst_0737,RandomGenerator,0,1,1000,3.60312,2.05976,1.5365809599999998,6.345954324428124
inst_0182,RandomGenerator,0,3,1000,2.84698,3.01345,0.7850680900000002,5.683669170603195
inst_0466,RandomGenerator,0,1,1000,1.8941,1.1672,0.7365032,5.709174955274806
inst_0143,RandomGenerator,0,4,1000,4.42557,4.03411,2.88765763,6.245742107660444
inst_0412,RandomGenerator,0,3,1000,3.72903,3.98443,0.62505816,5.756169620632025
